contrato;cantidad
ALUA;60,548747
BBAR;15,407465
BMA;31,350136
BYMA;5,699934
CEPU;66,860063
COME;234,449965
CRES;24,235796
EDN;28,057884
GGAL;86,107754
LOMA;21,933371
MIRG;1,473814
PAMP;80,413313
SUPV;22,272127
TECO2;18,128086
TGNO4;6,605337
TGSU2;13,116975
TRAN;15,826137
TXAR;88,407098
VALO;63,038185
YPFD;14,427231
