contrato;cantidad
ALUA;8,774492
BBAR;2,342072
BMA;2,862628
BYMA;60,188215
CEPU;8,921029
COME;35,647083
CRES;3,173533
EDN;1,929140
GGAL;9,875067
LOMA;3,191531
METR;1,951511
PAMP;10,502201
SUPV;2,978618
TECO2;2,054136
TGNO4;1,004317
TGSU2;2,421464
TRAN;2,406306
TXAR;17,141080
VALO;9,572282
YPFD;1,501911
