"contrato";"cantidad"
"ALUA";42,129236
"APBR";17,931659
"BBAR";10,717728
"BMA";15,423461
"BYMA";3,946196
"CEPU";78,721793
"COME";77,484402
"CRES";15,217166
"EDN";21,40231
"GGAL";59,912947
"PAMP";75,651951
"SUPV";15,424661
"TECO2";6,187761
"TGNO4";10,00359
"TGSU2";19,293827
"TRAN";11,011674
"TS";5,930325
"TXAR";92,273767
"VALO";44,111067
"YPFD";6,943369
