contrato;cantidad
ALUA;9,528145
BBAR;2,543236
BMA;2,946939
BYMA;65,248370
CEPU;10,597544
COME;86,874294
CRES;3,807949
ECOG;2,533867
EDN;2,094837
GGAL;13,219335
LOMA;3,465661
METR;2,119129
PAMP;10,391395
SUPV;3,393767
TGNO4;1,090580
TGSU2;1,743233
TRAN;2,612987
TXAR;20,980987
VALO;12,373225
YPFD;1,250370
