Especie;Monto;Fecha de Ajuste;tipo
IRSA;126,1171278269;31/10/2024;EF
IRSA;0,0360134465;31/10/2024;AC
CRES;75,2725361352;04/11/2024;EF
CEPU;39,471536151;13/11/2024;EF
ALUA;2,12;30/12/2024;EF
GGAL;18,132;24/01/2025;EF
BYMA;48,55767762;11/04/2025;EF
SUPV;61,9956736391;28/04/2025;EF
GGAL;54,7858650294;08/05/2025;EF
COME;0,7053514036;09/05/2025;EF
TGNO4;414,794742753;13/05/2025;EF
TGSU2;265,6885579753;04/06/2025;EF
BBAR;16,5285830001;24/06/2025;EF
BMA;53,140879996;26/06/2025;EF
GGAL;21,15380653431;04/07/2025;EF
VALO;0,4890284171;24/07/2025;EF
BBAR;16,7961642303;25/07/2025;EF
BMA;54,0011909248;28/07/2025;EF
GGAL;21,4962707718;06/08/2025;EF
VALO;0,4983281915;22/08/2025;EF
BBAR;17,115553465;25/08/2025;EF
BMA;55,0281228003;26/08/2025;EF
TRAN;301,794262466;02/09/2025;EF
GGAL;21,9050618610535;04/09/2025;EF
BYMA;6,5573968289;19/09/2025;EF
VALO;0,507675799;23/09/2025;EF
BBAR;17,4365899014;24/09/2025;EF
BMA;56,0603367572;25/09/2025;EF
GGAL;22,3159555901022;06/10/2025;EF
VALO;0,5182149471;24/10/2025;EF
BBAR;17,7985560712;27/10/2025;EF
BMA;57,2243060958;28/10/2025;EF
CRES;147,2568970084000;03/11/2025;EF
CRES;0,0084595617664;03/11/2025;AC
GGAL;22,7792259740615;06/11/2025;EF
TECO2;90,82690878;10/11/2025;EF
TECO2;13,6320472739;17/11/2025;EF
VALO;0,5303512468;19/11/2025;EF
BBAR;18,2153804558;21/11/2025;EF
BMA;58,5664000649;25/11/2025;EF
GGAL;23,3127024855393;04/12/2025;EF
VALO;3,9887098590000;04/12/2025;EF
TXAR;101,9288357;16/12/2025;EF
TGNO4;162,403212084;19/12/2025;EF
BBAR;18,6658285991;22/12/2025;EF
VALO;0,4723932986;22/12/2025;EF
BMA;60,0147000927;26/12/2025;EF
ALUA;2,96;29/12/2025;EF
GGAL;23,8892068911642;08/01/2026;EF
VALO;0,4846731962;23/01/2026;EF
BBAR;19,1969087544;26/01/2026;EF
BMA;61,7222815111;27/01/2026;EF
GGAL;24,5689197902307;05/02/2026;EF
VALO;0,4986396325;20/02/2026;EF
BBAR;19,750086877;23/02/2026;EF
BMA;63,5008827206;24/02/2026;EF
GGAL;25,2769025378911;05/03/2026;EF
VALO;0,5130818272;20/03/2026;EF
BBAR;20,32210864331;25/03/2026;EF
BMA;65,3400708982;26/03/2026;EF
TXAR;27,4408722442;06/04/2026;EF
GGAL;26,0090022870789;09/04/2026;EF
BYMA;22,959339837;14/04/2026;EF
