fecha_precio;valor
2019-03-14;41013,85
2019-03-15;41450,28
2019-03-18;42714,88
2019-03-19;42398,04
2019-03-20;42999,34
2019-03-21;42262,07
2019-03-22;40708,00
2019-03-25;41070,68
2019-03-26;40793,60
2019-03-27;40260,41
2019-03-28;40993,71
2019-03-29;41547,67
2019-04-01;41062,88
2019-04-03;39570,34
2019-04-04;40341,63
2019-04-05;41120,89
2019-04-08;41687,98
2019-04-09;40160,93
2019-04-10;40525,04
2019-04-11;39532,02
2019-04-12;38761,45
2019-04-15;39136,27
2019-04-16;40181,79
2019-04-17;39815,25
2019-04-22;38850,01
2019-04-23;39066,82
2019-04-24;37802,31
2019-04-25;37811,93
2019-04-26;38432,62
2019-04-29;36863,17
2019-04-30;37623,43
2019-05-02;38823,00
2019-05-03;40405,60
2019-05-06;40771,30
2019-05-07;40459,15
2019-05-08;41682,63
2019-05-09;41867,25
2019-05-10;41194,76
2019-05-13;39828,26
2019-05-14;40027,07
2019-05-15;40507,47
2019-05-16;41030,99
2019-05-17;40356,07
2019-05-20;40730,54
2019-05-21;41881,92
2019-05-22;41921,78
2019-05-23;41579,90
2019-05-24;42316,66
2019-05-27;42596,03
2019-05-28;41731,00
2019-05-29;41256,67
2019-05-30;41591,89
2019-05-31;41246,17
2019-06-03;41265,60
2019-06-04;42317,31
2019-06-05;42652,46
2019-06-06;43317,73
2019-06-07;43469,95
2019-06-10;44047,08
2019-06-11;46078,24
2019-06-12;48145,94
2019-06-13;48132,32
2019-06-14;47918,41
2019-06-18;48198,72
2019-06-19;47296,21
2019-06-21;48066,67
2019-06-24;47738,55
2019-06-25;47721,28
2019-06-26;47412,34
2019-06-27;48363,44
2019-06-28;49014,73
2019-07-01;48705,01
2019-07-02;48820,72
2019-07-03;48395,06
2019-07-04;48645,42
2019-07-05;49069,13
2019-07-10;50464,75
2019-07-11;50666,07
2019-07-12;50619,89
2019-07-15;49089,96
2019-07-16;49476,69
2019-07-17;49053,83
2019-07-18;48359,58
2019-07-19;47703,74
2019-07-22;46371,48
2019-07-23;46955,23
2019-07-24;47547,42
2019-07-25;47582,82
2019-07-26;49584,94
2019-07-29;50437,99
2019-07-30;50119,06
2019-07-31;49669,63
2019-08-01;48984,91
2019-08-02;48917,93
2019-08-05;48195,99
2019-08-06;48673,38
2019-08-07;48274,62
2019-08-08;48683,91
2019-08-09;51759,12
2019-08-12;36518,24
2019-08-13;39852,61
2019-08-14;39488,43
2019-08-15;39779,05
2019-08-16;38851,38
2019-08-20;35365,16
2019-08-21;36559,05
2019-08-22;36507,70
2019-08-23;34787,53
2019-08-26;33986,20
2019-08-27;33222,48
2019-08-28;34636,32
2019-08-29;33240,84
2019-08-30;34811,76
2019-09-02;35526,24
2019-09-03;32549,41
2019-09-04;34514,44
2019-09-05;37143,44
2019-09-06;38151,99
2019-09-09;37941,87
2019-09-10;39750,04
2019-09-11;39745,46
2019-09-12;40859,67
2019-09-13;42401,89
2019-09-16;42681,61
2019-09-17;42152,38
2019-09-18;41747,60
2019-09-19;41753,39
2019-09-20;41200,80
2019-09-23;77080,92
2019-09-24;71795,88
2019-09-25;72653,59
2019-09-26;72522,30
2019-09-27;74146,57
2019-09-30;39073,41
2019-10-01;40413,94
2019-10-02;41388,15
2019-10-03;40712,24
2019-10-04;42720,38
2019-10-07;41520,80
2019-10-08;40619,29
2019-10-09;40818,20
2019-10-10;42746,72
2019-10-11;42702,25
2019-10-15;42109,65
2019-10-16;41306,81
2019-10-17;43121,72
2019-10-18;43064,14
2019-10-21;43855,37
2019-10-22;44779,61
2019-10-23;44269,78
2019-10-24;45105,98
2019-10-25;46591,48
2019-10-28;44619,13
2019-10-29;43700,38
2019-10-30;45473,56
2019-10-31;47052,64
2019-11-01;48057,13
2019-11-04;50118,63
2019-11-05;49639,41
2019-11-06;47835,52
2019-11-07;48357,59
2019-11-08;46133,21
2019-11-11;45546,55
2019-11-12;45291,22
2019-11-13;43807,12
2019-11-14;41987,68
2019-11-15;43166,45
2019-11-19;43604,91
2019-11-20;45236,37
2019-11-21;45026,42
2019-11-22;45511,73
2019-11-25;45437,29
2019-11-26;43512,75
2019-11-27;46143,12
2019-11-28;46498,25
2019-11-29;46783,84
2019-12-02;45294,71
2019-12-03;44392,66
2019-12-04;47069,94
2019-12-05;48127,65
2019-12-06;49817,99
2019-12-09;49708,48
2019-12-10;47182,93
2019-12-11;47611,47
2019-12-12;48374,07
2019-12-13;50246,04
2019-12-16;51495,40
2019-12-17;50437,40
2019-12-18;51375,05
2019-12-19;51995,81
2019-12-20;52857,22
2019-12-23;54648,23
2019-12-26;58157,97
2019-12-27;57072,74
2019-12-30;57018,88
2020-01-02;56282,08
2020-01-03;55476,41
2020-01-06;56908,86
2020-01-07;56396,56
2020-01-08;56251,51
2020-01-09;57749,60
2020-01-10;58670,51
2020-01-13;57523,12
2020-01-14;56959,67
2020-01-15;56363,47
2020-01-16;57761,95
2020-01-17;57496,49
2020-01-20;58453,16
2020-01-21;56224,81
2020-01-22;56916,20
2020-01-23;55686,37
2020-01-24;54019,42
2020-01-27;53599,71
2020-01-28;55290,25
2020-01-29;54788,59
2020-01-30;54928,93
2020-01-31;54382,31
