date,value
23-08-2023,1172658
24-08-2023,1192015
25-08-2023,1303961
28-08-2023,998890
29-08-2023,954984
30-08-2023,990673
31-08-2023,1458278
01-09-2023,1448204
04-09-2023,1341013
05-09-2023,1380516
06-09-2023,1318847
07-09-2023,1391691
08-09-2023,1305953
11-09-2023,1300577
12-09-2023,1343255
13-09-2023,1327222
14-09-2023,1338521
15-09-2023,1148065
18-09-2023,1072061
19-09-2023,1119178
20-09-2023,1148182
21-09-2023,1195743
22-09-2023,1177482
25-09-2023,1159143
26-09-2023,1192088
27-09-2023,1181543
28-09-2023,1104118
29-09-2023,1405033
02-10-2023,1390110
03-10-2023,1457573
04-10-2023,1426904
05-10-2023,1436579
06-10-2023,1508870
09-10-2023,1387085
10-10-2023,1487191
11-10-2023,1451808
12-10-2023,1720458
17-10-2023,1397218
18-10-2023,1291300
19-10-2023,1453825
20-10-2023,1445015
23-10-2023,1154147
24-10-2023,1185416
25-10-2023,1165351
26-10-2023,1206104
27-10-2023,1230358
30-10-2023,1151368
31-10-2023,1415880
01-11-2023,1620182
02-11-2023,1685729
03-11-2023,1811105
07-11-2023,1788746
08-11-2023,1769840
09-11-2023,1757236
10-11-2023,1791253
13-11-2023,1682826
14-11-2023,1738449
15-11-2023,1779533
16-11-2023,1774478
17-11-2023,1821683
21-11-2023,1671644
22-11-2023,1642495
23-11-2023,1715000
24-11-2023,1850369
27-11-2023,1948593
28-11-2023,2083390
29-11-2023,1827092
30-11-2023,2830119
01-12-2023,2314187
04-12-2023,2193611
05-12-2023,2555665
06-12-2023,2480602
07-12-2023,3565229
11-12-2023,3153798
12-12-2023,3270007
13-12-2023,2158906
14-12-2023,2107828
15-12-2023,2251420
18-12-2023,2063071
19-12-2023,2051002
20-12-2023,2064167
21-12-2023,2063718
22-12-2023,1835301
26-12-2023,1919160
27-12-2023,1873653
28-12-2023,1795359
29-12-2023,2172776
02-01-2024,2234848
03-01-2024,2200366
04-01-2024,2214507
05-01-2024,2355894
08-01-2024,2535972
09-01-2024,2821020
10-01-2024,2808071
11-01-2024,2799624
12-01-2024,2791942
15-01-2024,2888791
16-01-2024,2913394
17-01-2024,3383172
18-01-2024,2767277
19-01-2024,2809418
22-01-2024,2683981
23-01-2024,2892113
24-01-2024,2885064
25-01-2024,2861696
26-01-2024,3171763
29-01-2024,2922108
30-01-2024,2837260
31-01-2024,3431026
01-02-2024,2921584
02-02-2024,3076544
05-02-2024,2884872
06-02-2024,2809878
07-02-2024,2817454
08-02-2024,2806141
09-02-2024,2912024
14-02-2024,2765157
15-02-2024,2676672
16-02-2024,2703223
19-02-2024,3438346
20-02-2024,2730291
21-02-2024,2709477
22-02-2024,2733574
23-02-2024,2747218
26-02-2024,2953353
27-02-2024,2727442
28-02-2024,2835754
29-02-2024,2959885
01-03-2024,3179401
04-03-2024,3105513
05-03-2024,2967652
06-03-2024,2911137
07-03-2024,3034164
08-03-2024,3059986
11-03-2024,3017763
12-03-2024,2986870
13-03-2024,2988934
14-03-2024,2658997
15-03-2024,2681067
18-03-2024,2714317
19-03-2024,2730436
20-03-2024,3344085
21-03-2024,2845685
22-03-2024,3233013
25-03-2024,2979901
26-03-2024,2890074
27-03-2024,4042359
03-04-2024,3107396
04-04-2024,3097846
05-04-2024,3255307
