date,value
26-04-2019,603796
29-04-2019,592060
30-04-2019,584963
02-05-2019,575549
03-05-2019,571936
06-05-2019,546219
07-05-2019,543640
08-05-2019,498789
09-05-2019,474141
10-05-2019,455367
13-05-2019,477726
14-05-2019,502172
15-05-2019,521041
16-05-2019,520895
17-05-2019,527436
20-05-2019,516849
21-05-2019,501818
22-05-2019,515349
23-05-2019,530156
24-05-2019,500375
27-05-2019,516883
28-05-2019,520053
29-05-2019,524422
30-05-2019,523949
31-05-2019,532109
03-06-2019,576139
04-06-2019,558175
05-06-2019,512568
06-06-2019,447299
07-06-2019,451229
10-06-2019,451689
11-06-2019,452941
12-06-2019,474465
13-06-2019,468220
14-06-2019,470339
18-06-2019,488287
19-06-2019,489784
21-06-2019,481375
24-06-2019,494025
25-06-2019,510057
26-06-2019,542997
27-06-2019,534976
28-06-2019,503343
01-07-2019,530067
02-07-2019,490624
03-07-2019,421309
04-07-2019,428288
05-07-2019,425644
10-07-2019,416677
11-07-2019,429767
12-07-2019,424670
15-07-2019,455577
16-07-2019,471615
17-07-2019,494262
18-07-2019,519978
19-07-2019,544075
22-07-2019,503597
23-07-2019,524244
24-07-2019,529462
25-07-2019,549049
26-07-2019,525590
29-07-2019,481160
30-07-2019,429107
31-07-2019,441497
01-08-2019,411794
02-08-2019,417022
05-08-2019,440193
06-08-2019,437032
07-08-2019,439542
08-08-2019,438491
09-08-2019,424870
12-08-2019,568105
13-08-2019,549702
14-08-2019,447245
15-08-2019,430243
16-08-2019,344315
20-08-2019,334232
21-08-2019,377149
22-08-2019,393728
23-08-2019,348560
26-08-2019,400899
27-08-2019,348620
28-08-2019,375072
29-08-2019,431897
30-08-2019,391735
02-09-2019,668420
03-09-2019,617589
04-09-2019,576308
05-09-2019,538189
06-09-2019,495793
09-09-2019,400965
10-09-2019,412617
11-09-2019,433499
12-09-2019,424786
13-09-2019,394422
16-09-2019,366220
17-09-2019,381683
18-09-2019,359066
19-09-2019,360272
20-09-2019,379594
23-09-2019,369051
24-09-2019,351199
25-09-2019,367431
26-09-2019,362898
27-09-2019,363828
30-09-2019,385271
01-10-2019,408460
02-10-2019,391536
03-10-2019,398189
04-10-2019,396621
07-10-2019,386538
08-10-2019,377262
09-10-2019,408354
10-10-2019,384325
11-10-2019,414813
15-10-2019,436274
16-10-2019,440000
17-10-2019,442907
18-10-2019,443090
21-10-2019,478642
22-10-2019,497275
23-10-2019,537631
24-10-2019,521178
25-10-2019,563648
28-10-2019,503601
29-10-2019,498622
30-10-2019,537645
31-10-2019,469216
01-11-2019,527822
04-11-2019,508969
05-11-2019,482082
07-11-2019,488543
08-11-2019,517632
11-11-2019,574577
12-11-2019,627254
13-11-2019,641062
14-11-2019,661067
15-11-2019,671256
19-11-2019,667557
20-11-2019,679779
21-11-2019,710235
22-11-2019,724019
25-11-2019,786423
26-11-2019,731851
27-11-2019,731479
28-11-2019,762130
29-11-2019,715486
02-12-2019,693338
03-12-2019,615916
04-12-2019,534540
05-12-2019,548616
06-12-2019,558965
09-12-2019,622507
10-12-2019,695645
11-12-2019,692630
12-12-2019,649921
13-12-2019,628785
16-12-2019,683216
17-12-2019,674878
18-12-2019,699622
19-12-2019,697732
20-12-2019,732477
23-12-2019,777183
26-12-2019,659232
27-12-2019,682029
30-12-2019,741976
02-01-2020,718409
03-01-2020,676805
06-01-2020,565586
07-01-2020,527732
08-01-2020,492604
09-01-2020,479627
10-01-2020,460008
13-01-2020,483620
14-01-2020,470351
15-01-2020,458532
16-01-2020,458861
17-01-2020,454246
20-01-2020,499396
21-01-2020,589694
22-01-2020,581539
23-01-2020,477025
24-01-2020,560688
27-01-2020,788564
28-01-2020,672561
29-01-2020,628453
30-01-2020,571950
31-01-2020,578476
03-02-2020,611467
04-02-2020,677547
05-02-2020,675597
06-02-2020,743168
07-02-2020,754879
10-02-2020,756269
11-02-2020,782094
12-02-2020,781826
13-02-2020,813965
14-02-2020,814321
17-02-2020,826348
18-02-2020,803084
19-02-2020,805120
20-02-2020,749364
21-02-2020,713694
26-02-2020,661951
27-02-2020,569522
28-02-2020,568090
02-03-2020,663650
03-03-2020,587793
04-03-2020,551219
05-03-2020,545565
06-03-2020,560383
09-03-2020,563614
10-03-2020,622309
11-03-2020,641829
12-03-2020,699195
13-03-2020,696649
16-03-2020,698173
17-03-2020,757353
18-03-2020,753810
19-03-2020,852644
20-03-2020,834467
25-03-2020,991708
26-03-2020,1088410
27-03-2020,985717
30-03-2020,1058760
01-04-2020,1145209
02-04-2020,1157964
03-04-2020,1139503
06-04-2020,1103790
07-04-2020,1124938
08-04-2020,1107808
13-04-2020,1098716
14-04-2020,1097358
15-04-2020,1094526
16-04-2020,1080979
17-04-2020,587612
20-04-2020,584066
21-04-2020,560893
22-04-2020,535795
23-04-2020,520672
24-04-2020,460684
27-04-2020,522231
28-04-2020,474557
29-04-2020,414315
30-04-2020,492924
04-05-2020,1027497
05-05-2020,1066421
