contrato;cantidad
ALUA;61,624946
BBAR;16,448823
BMA;28,104328
BYMA;57,734110
CEPU;99,662896
COME;250,356334
CRES;29,069795
EDN;33,018819
GGAL;95,797263
LOMA;22,430072
MIRG;0,707280
PAMP;82,668454
SUPV;24,587024
TECO2;28,019867
TGNO4;7,053514
TGSU2;27,898562
TRAN;16,899952
TXAR;132,363350
VALO;67,227982
YPFD;15,313708
