contrato;cantidad
ALUA;6,202308
BBAR;1,655509
BMA;2,828589
BYMA;5,810709
CEPU;10,030676
COME;25,197375
CRES;2,925759
EDN;3,323213
GGAL;9,641616
LOMA;2,257498
MIRG;0,071185
PAMP;8,320254
SUPV;2,474587
TECO2;2,820089
TGNO4;0,709909
TGSU2;2,807880
TRAN;1,700913
TXAR;13,321847
VALO;6,766231
YPFD;1,541264
