"contrato";"cantidad"
"ALUA";41,914219
"APBR";19,452828
"BBAR";10,663027
"BMA";14,452962
"BYMA";3,918983
"CEPU";78,320017
"COME";77,088941
"CRES";15,606324
"EDN";21,085481
"GGAL";59,607166
"PAMP";75,288006
"SUPV";15,345937
"TECO2";6,501035
"TGNO4";4,572476
"TGSU2";19,195356
"TRAN";10,955473
"TS";6,017594
"TXAR";91,802825
"VALO";43,952854
"YPFD";7,201893
