contrato;cantidad
ALUA;66,550513
BBAR;17,763547
BMA;31,906254
BYMA;45,599827
CEPU;69,963543
COME;270,366847
CRES;30,990949
EDN;35,645637
GGAL;103,454160
LOMA;24,158490
MIRG;0,763812
PAMP;73,353122
SUPV;24,607747
TECO2;24,305772
TGNO4;7,617290
TGSU2;18,802032
TRAN;18,250733
TXAR;111,078036
VALO;72,469399
YPFD;16,537703
