contrato;cantidad
ALUA;65,158547
BBAR;17,392007
BMA;35,268376
BYMA;33,328711
CEPU;71,985141
COME;264,711875
CRES;31,183430
GGAL;101,290322
IRSA;30,486058
LOMA;23,862776
MIRG;0,747837
PAMP;73,995557
SUPV;25,016607
TECO2;17,362093
TGNO4;7,457966
TGSU2;19,782790
TRAN;17,869003
TXAR;104,064346
VALO;70,953635
YPFD;16,335132
