contrato;cantidad
ALUA;8,581799
BBAR;2,290638
BMA;3,143078
BYMA;58,928366
CEPU;8,489518
COME;78,245843
CRES;3,084120
EDN;1,886777
GGAL;11,176630
LOMA;3,121443
METR;1,908655
PAMP;11,085414
SUPV;3,083772
TECO2;1,729993
TGNO4;0,982262
TGSU2;2,064911
TRAN;2,353463
TXAR;18,897132
VALO;11,144304
YPFD;1,434289
