"contrato";"cantidad"
"ALUA";38,174381
"APBR";20,921359
"BMA";19,61388
"BYMA";3,606462
"CEPU";71,331835
"COME";70,210603
"CRES";14,078673
"CVH";3,844224
"EDN";19,490583
"FRAN";9,711608
"GGAL";54,288657
"PAMP";71,379277
"SUPV";13,976681
"TGNO4";9,06451
"TGSU2";17,804965
"TRAN";9,97796
"TS";4,419731
"TXAR";83,611627
"VALO";40,259397
"YPFD";6,907178
