date,ticker,quantity,close_corrected
2019-09-23,ALUA,42.162978,21.85
2019-09-23,APBR,19.56828,488.0
2019-09-23,BBAR,10.726312,95.95
2019-09-23,BMA,14.53874,158.3
2019-09-23,BYMA,3.942242,218.25
2019-09-23,CEPU,78.784841,20.7
2019-09-23,COME,77.546461,1.66
2019-09-23,CRES,15.698946,39.45
2019-09-23,EDN,21.210622,24.65
2019-09-23,GGAL,59.960931,80.0
2019-09-23,PAMP,75.734838,43.2
2019-09-23,SUPV,15.437015,38.2
2019-09-23,TECO2,6.539619,133.5
2019-09-23,TGNO4,4.599613,43.75
2019-09-23,TGSU2,19.309281,114.2
2019-09-23,TRAN,11.020493,23.1
2019-09-23,TS,6.053309,722.0
2019-09-23,TXAR,92.34767,15.1
2019-09-23,VALO,44.213712,6.5
2019-09-23,YPFD,7.244635,607.0
2019-09-24,ALUA,42.162978,21.7
2019-09-24,APBR,19.56828,473.0
2019-09-24,BBAR,10.726312,90.5
2019-09-24,BMA,14.53874,154.5
2019-09-24,BYMA,3.942242,212.5
2019-09-24,CEPU,78.784841,19.35
2019-09-24,COME,77.546461,1.58
2019-09-24,CRES,15.698946,37.5
2019-09-24,EDN,21.210622,22.6
2019-09-24,GGAL,59.960931,76.8
2019-09-24,PAMP,75.734838,40.7
2019-09-24,SUPV,15.437015,36.1
2019-09-24,TECO2,6.539619,121.5
2019-09-24,TGNO4,4.599613,40.9
2019-09-24,TGSU2,19.309281,108.0
2019-09-24,TRAN,11.020493,21.25
2019-09-24,TS,6.053309,678.0
2019-09-24,TXAR,92.34767,14.65
2019-09-24,VALO,44.213712,6.13
2019-09-24,YPFD,7.244635,585.0
2019-09-25,ALUA,42.162978,21.85
2019-09-25,APBR,19.56828,460.0
2019-09-25,BBAR,10.726312,91.8
2019-09-25,BMA,14.53874,158.0
2019-09-25,BYMA,3.942242,220.00000000000003
2019-09-25,CEPU,78.784841,19.25
2019-09-25,COME,77.546461,1.6
2019-09-25,CRES,15.698946,37.5
2019-09-25,EDN,21.210622,22.4
2019-09-25,GGAL,59.960931,78.8
2019-09-25,PAMP,75.734838,41.1
2019-09-25,SUPV,15.437015,36.8
2019-09-25,TECO2,6.539619,125.1
2019-09-25,TGNO4,4.599613,41.0
2019-09-25,TGSU2,19.309281,110.4
2019-09-25,TRAN,11.020493,21.4
2019-09-25,TS,6.053309,677.5
2019-09-25,TXAR,92.34767,14.6
2019-09-25,VALO,44.213712,6.0
2019-09-25,YPFD,7.244635,587.9
2019-09-26,ALUA,42.162978,21.8
2019-09-26,APBR,19.56828,460.5
2019-09-26,BBAR,10.726312,90.9
2019-09-26,BMA,14.53874,157.5
2019-09-26,BYMA,3.942242,221.0
2019-09-26,CEPU,78.784841,18.7
2019-09-26,COME,77.546461,1.58
2019-09-26,CRES,15.698946,37.2
2019-09-26,EDN,21.210622,22.0
2019-09-26,GGAL,59.960931,79.05
2019-09-26,PAMP,75.734838,41.0
2019-09-26,SUPV,15.437015,37.75
2019-09-26,TECO2,6.539619,123.2
2019-09-26,TGNO4,4.599613,41.7
2019-09-26,TGSU2,19.309281,108.5
2019-09-26,TRAN,11.020493,21.4
2019-09-26,TS,6.053309,659.0
2019-09-26,TXAR,92.34767,15.15
2019-09-26,VALO,44.213712,6.03
2019-09-26,YPFD,7.244635,580.75
2019-09-27,ALUA,42.162978,21.6
2019-09-27,APBR,19.56828,459.0
2019-09-27,BBAR,10.726312,95.0
2019-09-27,BMA,14.53874,163.0
2019-09-27,BYMA,3.942242,220.00000000000003
2019-09-27,CEPU,78.784841,18.55
2019-09-27,COME,77.546461,1.61
2019-09-27,CRES,15.698946,37.5
2019-09-27,EDN,21.210622,22.5
2019-09-27,GGAL,59.960931,82.0
2019-09-27,PAMP,75.734838,42.4
2019-09-27,SUPV,15.437015,40.0
2019-09-27,TECO2,6.539619,121.0
2019-09-27,TGNO4,4.599613,42.7
2019-09-27,TGSU2,19.309281,109.5
2019-09-27,TRAN,11.020493,21.6
2019-09-27,TS,6.053309,662.0
2019-09-27,TXAR,92.34767,15.3
2019-09-27,VALO,44.213712,6.19
2019-09-27,YPFD,7.244635,598.0
