date,ticker,quantity,close_comp,close_ohlcv,spot
2019-09-20,ALUA,42.162978,22.7,22.7,41200.8
2019-09-20,APBR,19.56828,491.0,493.0,41200.8
2019-09-20,BBAR,10.726312,97.35,97.1,41200.8
2019-09-20,BMA,14.53874,163.15,163.2,41200.8
2019-09-20,BYMA,3.942242,222.0,2.22,41200.8
2019-09-20,CEPU,78.784841,22.05,22.1,41200.8
2019-09-20,COME,77.546461,1.73,1.73,41200.8
2019-09-20,CRES,15.698946,41.1,41.1,41200.8
2019-09-20,EDN,21.210622,26.2,26.5,41200.8
2019-09-20,GGAL,59.960931,81.55,81.75,41200.8
2019-09-20,PAMP,75.734838,44.05,43.9,41200.8
2019-09-20,SUPV,15.437015,40.05,40.5,41200.8
2019-09-20,TECO2,6.539619,136.95,136.95,41200.8
2019-09-20,TGNO4,4.599613,48.15,48.4,41200.8
2019-09-20,TGSU2,19.309281,117.0,117.0,41200.8
2019-09-20,TRAN,11.020493,23.75,23.8,41200.8
2019-09-20,TS,6.053309,738.0,738.0,41200.8
2019-09-20,TXAR,92.34767,15.4,15.5,41200.8
2019-09-20,VALO,44.213712,6.76,6.77,41200.8
2019-09-20,YPFD,7.244635,635.15,63.69,41200.8
2019-09-23,ALUA,42.162978,99.0,21.85,77080.92
2019-09-23,APBR,19.56828,200.0,488.0,77080.92
2019-09-23,BBAR,10.726312,275.0,95.95,77080.92
2019-09-23,BMA,14.53874,46.0,158.3,77080.92
2019-09-23,BYMA,3.942242,102.0,2.1825,77080.92
2019-09-23,CEPU,78.784841,93.0,20.7,77080.92
2019-09-23,COME,77.546461,7.0,1.66,77080.92
2019-09-23,CRES,15.698946,167.0,39.45,77080.92
2019-09-23,EDN,21.210622,111.0,24.65,77080.92
2019-09-23,GGAL,59.960931,266.0,80.0,77080.92
2019-09-23,PAMP,75.734838,190.0,43.2,77080.92
2019-09-23,SUPV,15.437015,166.0,38.2,77080.92
2019-09-23,TECO2,6.539619,35.0,133.5,77080.92
2019-09-23,TGNO4,4.599613,194.0,43.75,77080.92
2019-09-23,TGSU2,19.309281,23.0,114.2,77080.92
2019-09-23,TRAN,11.020493,108.0,23.1,77080.92
2019-09-23,TS,6.053309,244.0,722.0,77080.92
2019-09-23,TXAR,92.34767,40.0,15.1,77080.92
2019-09-23,VALO,44.213712,219.0,6.5,77080.92
2019-09-23,YPFD,7.244635,223.0,60.7,77080.92
2019-09-24,ALUA,42.162978,97.0,21.7,71795.88
2019-09-24,APBR,19.56828,199.0,473.0,71795.88
2019-09-24,BBAR,10.726312,271.0,90.5,71795.88
2019-09-24,BMA,14.53874,44.0,154.5,71795.88
2019-09-24,BYMA,3.942242,101.0,2.125,71795.88
2019-09-24,CEPU,78.784841,69.0,19.35,71795.88
2019-09-24,COME,77.546461,4.0,1.58,71795.88
2019-09-24,CRES,15.698946,158.0,37.5,71795.88
2019-09-24,EDN,21.210622,105.0,22.6,71795.88
2019-09-24,GGAL,59.960931,247.0,76.8,71795.88
2019-09-24,PAMP,75.734838,182.0,40.7,71795.88
2019-09-24,SUPV,15.437015,156.0,36.1,71795.88
2019-09-24,TECO2,6.539619,30.0,121.5,71795.88
2019-09-24,TGNO4,4.599613,183.0,40.9,71795.88
2019-09-24,TGSU2,19.309281,16.0,108.0,71795.88
2019-09-24,TRAN,11.020493,94.0,21.25,71795.88
2019-09-24,TS,6.053309,235.0,678.0,71795.88
2019-09-24,TXAR,92.34767,37.0,14.65,71795.88
2019-09-24,VALO,44.213712,218.0,6.13,71795.88
2019-09-24,YPFD,7.244635,214.0,58.5,71795.88
2019-09-25,ALUA,42.162978,98.0,21.85,72653.59
2019-09-25,APBR,19.56828,198.0,460.0,72653.59
2019-09-25,BBAR,10.726312,273.0,91.8,72653.59
2019-09-25,BMA,14.53874,45.0,158.0,72653.59
2019-09-25,BYMA,3.942242,106.0,2.2,72653.59
2019-09-25,CEPU,78.784841,69.0,19.25,72653.59
2019-09-25,COME,77.546461,6.0,1.6,72653.59
2019-09-25,CRES,15.698946,162.0,37.5,72653.59
2019-09-25,EDN,21.210622,104.0,22.4,72653.59
2019-09-25,GGAL,59.960931,252.0,78.8,72653.59
2019-09-25,PAMP,75.734838,185.0,41.1,72653.59
2019-09-25,SUPV,15.437015,157.0,36.8,72653.59
2019-09-25,TECO2,6.539619,32.0,125.1,72653.59
2019-09-25,TGNO4,4.599613,185.0,41.0,72653.59
2019-09-25,TGSU2,19.309281,22.0,110.4,72653.59
2019-09-25,TRAN,11.020493,96.0,21.4,72653.59
2019-09-25,TS,6.053309,231.0,677.5,72653.59
2019-09-25,TXAR,92.34767,37.0,14.6,72653.59
2019-09-25,VALO,44.213712,216.0,6.0,72653.59
2019-09-25,YPFD,7.244635,213.0,58.79,72653.59
2019-09-26,ALUA,42.162978,100.0,21.8,72522.3
2019-09-26,APBR,19.56828,197.0,460.5,72522.3
2019-09-26,BBAR,10.726312,272.0,90.9,72522.3
2019-09-26,BMA,14.53874,47.0,157.5,72522.3
2019-09-26,BYMA,3.942242,107.0,2.21,72522.3
2019-09-26,CEPU,78.784841,64.0,18.7,72522.3
2019-09-26,COME,77.546461,5.0,1.58,72522.3
2019-09-26,CRES,15.698946,159.0,37.2,72522.3
2019-09-26,EDN,21.210622,103.0,22.0,72522.3
2019-09-26,GGAL,59.960931,253.0,79.05,72522.3
2019-09-26,PAMP,75.734838,184.0,41.0,72522.3
2019-09-26,SUPV,15.437015,165.0,37.75,72522.3
2019-09-26,TECO2,6.539619,31.0,123.2,72522.3
