date,symbol,open,high,low,close,settlement,volume,open_interest,implied_rate
2020-01-02,RFX20032020,61000.0,61750.0,59721.0,60230.0,60230.0,8580.0,1744.0,28.4478
2020-01-03,RFX20032020,59251.0,59800.0,58513.0,59768.0,59768.0,9147.0,2032.0,31.7258
2020-01-06,RFX20032020,59500.0,60680.0,59050.0,60644.0,60644.0,10034.0,2412.0,27.8562
2020-01-06,RFX20062020,65680.0,65680.0,65680.0,65680.0,66644.0,48.0,48.0,35.4766
2020-01-07,RFX20032020,60800.0,61135.0,59848.0,60766.0,60766.0,12938.0,2907.0,33.2696
2020-01-07,RFX20062020,66200.0,66200.0,66200.0,66200.0,66966.0,60.0,12.0,39.089
2020-01-08,RFX20032020,60750.0,61299.0,60150.0,61125.0,61160.0,13191.0,3080.0,37.9164
2020-01-08,RFX20062020,66185.0,66185.0,66185.0,66185.0,67160.0,12.0,0.0,40.6794
2020-01-09,RFX20032020,61390.0,63100.0,61165.0,62929.0,62929.0,14884.0,3214.0,39.4408
2020-01-09,RFX20062020,67700.0,67850.0,67700.0,67850.0,69029.0,120.0,120.0,41.2082
2020-01-10,RFX20032020,63300.0,64109.0,62907.0,63930.0,63920.0,12404.0,3327.0,39.8269
2020-01-10,RFX20062020,69225.0,69225.0,69225.0,69225.0,69435.0,90.0,30.0,38.9348
2020-01-13,RFX20032020,63200.0,63800.0,62850.0,63020.0,63020.0,9656.0,3717.0,44.1509
2020-01-13,RFX20062020,69229.0,69229.0,69229.0,69229.0,68520.0,30.0,0.0,41.2889
2020-01-14,RFX20032020,62400.0,62890.0,61813.0,62648.0,62648.0,16506.0,4123.0,46.7321
2020-01-14,RFX20062020,67380.0,68100.0,67380.0,67759.0,68265.0,110.0,92.0,43.1221
2020-01-15,RFX20032020,62790.0,62999.0,62140.0,62400.0,62400.0,11909.0,4422.0,50.7682
2020-01-15,RFX20062020,69250.0,69359.0,69000.0,69051.0,69200.0,105.0,37.0,49.7767
2020-01-16,RFX20032020,62200.0,63618.0,62120.0,63605.0,63605.0,13233.0,4438.0,48.5822
2020-01-16,RFX20062020,69650.0,69650.0,69100.0,69148.0,69533.0,37.0,14.0,44.8083
2020-01-17,RFX20032020,63300.0,64100.0,63257.0,63399.0,63399.0,13581.0,4545.0,49.9605
2020-01-17,RFX20062020,70260.0,70260.0,70260.0,70260.0,69699.0,40.0,54.0,46.948
2020-01-20,RFX20032020,63350.0,63625.0,63207.0,63500.0,63500.0,1750.0,4677.0,43.7695
2020-01-20,RFX20062020,69340.0,69750.0,69340.0,69750.0,69750.0,80.0,14.0,43.5438
2020-01-21,RFX20032020,63200.0,63249.0,61941.0,61970.0,61970.0,14675.0,4734.0,52.5304
2020-01-21,RFX20062020,68647.0,68647.0,68494.0,68494.0,67970.0,32.0,42.0,47.3586
2020-01-22,RFX20032020,61700.0,62075.0,61300.0,62035.0,62035.0,15621.0,5263.0,46.895
2020-01-22,RFX20062020,67815.0,67815.0,67800.0,67800.0,67890.0,40.0,22.0,43.9839
2020-01-23,RFX20032020,61400.0,61750.0,60810.0,60940.0,60940.0,12283.0,5629.0,49.9062
2020-01-23,RFX20062020,67550.0,67550.0,67105.0,67105.0,67105.0,70.0,37.0,47.0718
2020-01-24,RFX20032020,60890.0,61150.0,59145.0,59430.0,59430.0,17726.0,4837.0,53.7623
2020-01-24,RFX20062020,67055.0,67055.0,65840.0,65840.0,65680.0,1050.0,37.0,49.8662
2020-01-27,RFX20032020,56430.0,58530.0,56430.0,57940.0,57935.0,16122.0,5251.0,45.4188
2020-01-27,RFX20062020,63705.0,64300.0,63490.0,64300.0,64185.0,38.0,45.0,46.5052
2020-01-28,RFX20032020,58935.0,59445.0,58200.0,58950.0,58950.0,16977.0,5074.0,37.7499
2020-01-28,RFX20062020,64585.0,65135.0,64575.0,65135.0,64950.0,32.0,46.0,41.4085
2020-01-29,RFX20032020,59500.0,59840.0,58350.0,58375.0,58375.0,16229.0,4792.0,37.9246
2020-01-29,RFX20062020,65650.0,65650.0,65040.0,65040.0,64450.0,2.0,46.0,42.068
2020-01-30,RFX20032020,58000.0,58700.0,57500.0,58365.0,58365.0,16533.0,5319.0,36.8266
