ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;38.877382;18.7;2018-11-23;2018-12-04
APBR;22.840114;276;2018-11-23;2018-12-04
BMA;20.535363;169.75;2018-11-23;2018-12-04
BYMA;3.680125;364.95;2018-11-23;2018-12-04
CEPU;73.072673;36.35;2018-11-23;2018-12-04
COME;75.031039;3.42;2018-11-23;2018-12-04
CVH;4.185458;267.85;2018-11-23;2018-12-04
EDN;21.342814;48.55;2018-11-23;2018-12-04
BBAR;8.67125;147.1;2018-11-23;2018-12-04
GGAL;55.288411;102.8;2018-11-23;2018-12-04
METR;8.241133;29.6;2018-11-23;2018-12-04
PAMP;75.760438;54.7;2018-11-23;2018-12-04
SUPV;14.1391;67;2018-11-23;2018-12-04
TGNO4;4.241182;53;2018-11-23;2018-12-04
TGSU2;15.007062;120.35;2018-11-23;2018-12-04
TRAN;10.16171;46.4;2018-11-23;2018-12-04
TS;2.983412;459.5;2018-11-23;2018-12-04
TXAR;85.151377;14.85;2018-11-23;2018-12-04
VALO;41.43232;5.62;2018-11-23;2018-12-04
YPFD;7.240027;585.75;2018-11-23;2018-12-04
