ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;64.484652;52.9;2021-05-26;2021-06-02
BBAR;16.40901;203.65;2021-05-26;2021-06-02
BMA;32.257863;279;2021-05-26;2021-06-02
BYMA;5.112117;753;2021-05-26;2021-06-02
CEPU;72.422451;40.15;2021-05-26;2021-06-02
COME;249.688895;3.17;2021-05-26;2021-06-02
CRES;25.400803;110.35;2021-05-26;2021-06-02
EDN;29.881756;32.6;2021-05-26;2021-06-02
GGAL;95.541873;150.9;2021-05-26;2021-06-02
LOMA;23.189107;236.85;2021-05-26;2021-06-02
MIRG;0.726689;1821.5;2021-05-26;2021-06-02
PAMP;65.970043;110.85;2021-05-26;2021-06-02
SUPV;23.719902;68.7;2021-05-26;2021-06-02
TECO2;20.423832;191.5;2021-05-26;2021-06-02
TGNO4;7.034711;45.9;2021-05-26;2021-06-02
TGSU2;14.668309;169.95;2021-05-26;2021-06-02
TRAN;16.854897;28.1;2021-05-26;2021-06-02
TXAR;82.105125;64.2;2021-05-26;2021-06-02
VALO;67.135914;27.25;2021-05-26;2021-06-02
YPFD;15.365058;816.5;2021-05-26;2021-06-02
