ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;9.546173;973.0;2026-07-21;2026-07-21
BBAR;2.548049;10410.0;2026-07-21;2026-07-21
BMA;2.674034;14500.0;2026-07-21;2026-07-21
BYMA;62.198545;292.25;2026-07-21;2026-07-21
CEPU;11.23022;2340.0;2026-07-21;2026-07-21
COME;87.038657;42.87;2026-07-21;2026-07-21
CRES;4.13269;1759.0;2026-07-21;2026-07-21
ECOG;2.455949;3057.5;2026-07-21;2026-07-21
EDN;2.0988;2089.0;2026-07-21;2026-07-21
GGAL;13.156425;7965.0;2026-07-21;2026-07-21
LOMA;3.472214;3605.0;2026-07-21;2026-07-21
METR;2.123139;2150.0;2026-07-21;2026-07-21
PAMP;10.602005;5475.0;2026-07-21;2026-07-21
SUPV;4.045702;3042.5;2026-07-21;2026-07-21
TGNO4;1.092642;4077.5;2026-07-21;2026-07-21
TGSU2;2.024081;9710.0;2026-07-21;2026-07-21
TRAN;2.617931;3635.0;2026-07-21;2026-07-21
TXAR;21.020682;679.0;2026-07-21;2026-07-21
VALO;14.295911;639.5;2026-07-21;2026-07-21
YPFD;1.250995;80625.0;2026-07-21;2026-07-21
