ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;6.218548;949;2023-12-07;2023-12-21
BBAR;1.659844;1819.6;2023-12-07;2023-12-21
BMA;2.835995;2806.65;2023-12-07;2023-12-21
BYMA;5.825923;888.5;2023-12-07;2023-12-21
CEPU;10.05694;896.1;2023-12-07;2023-12-21
COME;25.263351;67.95;2023-12-07;2023-12-21
CRES;2.93342;911;2023-12-07;2023-12-21
EDN;3.331914;938.4;2023-12-07;2023-12-21
GGAL;9.666861;1723.1;2023-12-07;2023-12-21
LOMA;2.263409;1347.7;2023-12-07;2023-12-21
MIRG;0.071371;11097.5;2023-12-07;2023-12-21
PAMP;8.342039;1919.5;2023-12-07;2023-12-21
SUPV;2.481066;861.05;2023-12-07;2023-12-21
TECO2;2.827473;1551.9;2023-12-07;2023-12-21
TGNO4;0.711768;1675;2023-12-07;2023-12-21
TGSU2;2.815232;2880.8;2023-12-07;2023-12-21
TRAN;1.705367;1147.5;2023-12-07;2023-12-21
TXAR;13.356728;858;2023-12-07;2023-12-21
VALO;6.783947;224.5;2023-12-07;2023-12-21
YPFD;1.5453;17129.9;2023-12-07;2023-12-21
