ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;35.970298;18.95;2018-12-28;2019-02-22
APBR;22.20252;328.2;2018-12-28;2019-02-22
BMA;18.666181;211.55;2018-12-28;2019-02-22
BYMA;3.40485;366.5;2018-12-28;2019-02-22
CEPU;67.213333;41.5;2018-12-28;2019-02-22
COME;66.156823;3.41;2018-12-28;2019-02-22
CRES;13.492703;49.45;2018-12-28;2019-02-22
CVH;4.226709;275;2018-12-28;2019-02-22
EDN;18.638313;52.9;2018-12-28;2019-02-22
BBAR;9.150887;157.7;2018-12-28;2019-02-22
GGAL;51.154181;131.85;2018-12-28;2019-02-22
PAMP;67.12441;53.75;2018-12-28;2019-02-22
SUPV;13.081838;77.7;2018-12-28;2019-02-22
TGNO4;8.54115;71.5;2018-12-28;2019-02-22
TGSU2;16.720445;119.4;2018-12-28;2019-02-22
TRAN;9.40186;55.7;2018-12-28;2019-02-22
TS;4.752697;537.85;2018-12-28;2019-02-22
TXAR;78.784123;15.35;2018-12-28;2019-02-22
VALO;38.092295;7.09;2018-12-28;2019-02-22
YPFD;8.13786;592.35;2018-12-28;2019-02-22
