ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;35.970298;17.75;2018-12-28;2019-03-18
APBR;22.20252;340.8;2018-12-28;2019-03-18
BMA;18.666181;207;2018-12-28;2019-03-18
BYMA;3.40485;333.5;2018-12-28;2019-03-18
CEPU;67.213333;42.5;2018-12-28;2019-03-18
COME;66.156823;3.32;2018-12-28;2019-03-18
CRES;13.492703;50;2018-12-28;2019-03-18
CVH;4.226709;238.5;2018-12-28;2019-03-18
EDN;18.638313;50.8;2018-12-28;2019-03-18
BBAR;9.150887;149.6;2018-12-28;2019-03-18
GGAL;51.154181;117.8;2018-12-28;2019-03-18
PAMP;67.12441;52.6;2018-12-28;2019-03-18
SUPV;13.081838;64.05;2018-12-28;2019-03-18
TGNO4;8.54115;70.2;2018-12-28;2019-03-18
TGSU2;16.720445;121.05;2018-12-28;2019-03-18
TRAN;9.40186;53.4;2018-12-28;2019-03-18
TS;4.752697;563;2018-12-28;2019-03-18
TXAR;78.784123;15.5;2018-12-28;2019-03-18
VALO;38.092295;6.79;2018-12-28;2019-03-18
YPFD;8.13786;584.9;2018-12-28;2019-03-18
