ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;63.383222;372;2023-05-29;2023-06-02
BBAR;16.918139;753.15;2023-05-29;2023-06-02
BMA;32.698793;913.7;2023-05-29;2023-06-02
BYMA;37.56743;385.5;2023-05-29;2023-06-02
CEPU;91.769621;348.2;2023-05-29;2023-06-02
COME;257.499477;30.8;2023-05-29;2023-06-02
CRES;28.85027;332.65;2023-05-29;2023-06-02
EDN;33.949182;263.6;2023-05-29;2023-06-02
GGAL;98.530543;584.3;2023-05-29;2023-06-02
LOMA;23.070044;628.85;2023-05-29;2023-06-02
MIRG;0.72746;7565;2023-05-29;2023-06-02
PAMP;79.945955;767.6;2023-05-29;2023-06-02
SUPV;23.167251;220.05;2023-05-29;2023-06-02
TECO2;26.609334;513;2023-05-29;2023-06-02
TGNO4;7.254765;721;2023-05-29;2023-06-02
TGSU2;28.3363;1272.6;2023-05-29;2023-06-02
TRAN;17.38214;306;2023-05-29;2023-06-02
TXAR;104.783006;398;2023-05-29;2023-06-02
VALO;69.020419;104.25;2023-05-29;2023-06-02
YPFD;15.750636;5690.9;2023-05-29;2023-06-02
