ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;35.970298;18.5;2018-12-28;2019-03-07
APBR;22.20252;324.35;2018-12-28;2019-03-07
BMA;18.666181;184.95;2018-12-28;2019-03-07
BYMA;3.40485;328.5;2018-12-28;2019-03-07
CEPU;67.213333;40.05;2018-12-28;2019-03-07
COME;66.156823;3.18;2018-12-28;2019-03-07
CRES;13.492703;49.85;2018-12-28;2019-03-07
CVH;4.226709;248;2018-12-28;2019-03-07
EDN;18.638313;51.25;2018-12-28;2019-03-07
BBAR;9.150887;144.75;2018-12-28;2019-03-07
GGAL;51.154181;109.1;2018-12-28;2019-03-07
PAMP;67.12441;50.1;2018-12-28;2019-03-07
SUPV;13.081838;63.5;2018-12-28;2019-03-07
TGNO4;8.54115;69.5;2018-12-28;2019-03-07
TGSU2;16.720445;111.5;2018-12-28;2019-03-07
TRAN;9.40186;50.6;2018-12-28;2019-03-07
TS;4.752697;556.65;2018-12-28;2019-03-07
TXAR;78.784123;13.9;2018-12-28;2019-03-07
VALO;38.092295;6.24;2018-12-28;2019-03-07
YPFD;8.13786;541.95;2018-12-28;2019-03-07
