ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;62.135088;28.35;2020-01-02;2020-02-13
BBAR;15.80724;125.05;2020-01-02;2020-02-13
BMA;19.38036;262.05;2020-01-02;2020-02-13
BYMA;5.770192;287;2020-01-02;2020-02-13
CEPU;92.966275;29.8;2020-01-02;2020-02-13
COME;194.274761;2.2;2020-01-02;2020-02-13
CRES;23.181593;41.55;2020-01-02;2020-02-13
EDN;29.384358;21.2;2020-01-02;2020-02-13
GGAL;88.363725;115.7;2020-01-02;2020-02-13
LOMA;7.844304;109.65;2020-01-02;2020-02-13
MIRG;1.825883;777.5;2020-01-02;2020-02-13
PAMP;99.451921;44.05;2020-01-02;2020-02-13
SUPV;22.749348;48.25;2020-01-02;2020-02-13
TECO2;6.427458;193.3;2020-01-02;2020-02-13
TGNO4;6.778393;33.8;2020-01-02;2020-02-13
TGSU2;29.267;103.2;2020-01-02;2020-02-13
TRAN;16.240772;25.3;2020-01-02;2020-02-13
TXAR;134.683862;23.3;2020-01-02;2020-02-13
VALO;64.765829;13.45;2020-01-02;2020-02-13
YPFD;13.303519;766.6;2020-01-02;2020-02-13
