ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;62.391342;91.5;2021-11-02;2021-11-04
BBAR;15.876339;275.7;2021-11-02;2021-11-04
BMA;31.191791;351.05;2021-11-02;2021-11-04
BYMA;5.708835;830;2021-11-02;2021-11-04
CEPU;82.492094;81.35;2021-11-02;2021-11-04
COME;241.583465;5.37;2021-11-02;2021-11-04
CRES;28.922482;112.35;2021-11-02;2021-11-04
CVH;2.743989;515;2021-11-02;2021-11-04
GGAL;92.44038;244.95;2021-11-02;2021-11-04
LOMA;22.161557;299.85;2021-11-02;2021-11-04
MIRG;0.703099;3939.5;2021-11-02;2021-11-04
PAMP;66.117697;153.65;2021-11-02;2021-11-04
SUPV;22.949904;97.55;2021-11-02;2021-11-04
TECO2;26.279097;215.1;2021-11-02;2021-11-04
TGNO4;6.806348;101.75;2021-11-02;2021-11-04
TGSU2;13.963669;224.1;2021-11-02;2021-11-04
TRAN;16.307751;64.7;2021-11-02;2021-11-04
TXAR;94.314362;128.5;2021-11-02;2021-11-04
VALO;64.956539;24.95;2021-11-02;2021-11-04
YPFD;14.866276;907.25;2021-11-02;2021-11-04
