ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;64.018646;452.5;2023-07-26;2023-08-01
BBAR;17.087746;1006.25;2023-07-26;2023-08-01
BMA;33.026605;1444.65;2023-07-26;2023-08-01
BYMA;37.944049;364;2023-07-26;2023-08-01
CEPU;92.689624;359;2023-07-26;2023-08-01
COME;260.080945;44.45;2023-07-26;2023-08-01
CRES;29.139499;438.05;2023-07-26;2023-08-01
EDN;34.289529;410;2023-07-26;2023-08-01
GGAL;99.518325;917.65;2023-07-26;2023-08-01
LOMA;23.301324;734.2;2023-07-26;2023-08-01
MIRG;0.734754;9483.5;2023-07-26;2023-08-01
PAMP;80.747423;959.95;2023-07-26;2023-08-01
SUPV;23.399507;347.4;2023-07-26;2023-08-01
TECO2;26.876096;674.6;2023-07-26;2023-08-01
TGNO4;7.327496;684.5;2023-07-26;2023-08-01
TGSU2;28.620375;1335.35;2023-07-26;2023-08-01
TRAN;17.556398;351.5;2023-07-26;2023-08-01
TXAR;105.83347;430.5;2023-07-26;2023-08-01
VALO;69.712358;108.75;2023-07-26;2023-08-01
YPFD;15.908539;8207.3;2023-07-26;2023-08-01
