ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;63.57963;365;2023-06-08;2023-06-12
BBAR;16.970564;902.25;2023-06-08;2023-06-12
BMA;32.800119;1103.85;2023-06-08;2023-06-12
BYMA;37.683842;383;2023-06-08;2023-06-12
CEPU;92.053991;350.1;2023-06-08;2023-06-12
COME;258.297401;32.05;2023-06-08;2023-06-12
CRES;28.93967;354.2;2023-06-08;2023-06-12
EDN;34.054382;284.65;2023-06-08;2023-06-12
GGAL;98.835864;721.35;2023-06-08;2023-06-12
LOMA;23.141532;640.5;2023-06-08;2023-06-12
MIRG;0.729714;7640;2023-06-08;2023-06-12
PAMP;80.193687;777.75;2023-06-08;2023-06-12
SUPV;23.239041;258.6;2023-06-08;2023-06-12
TECO2;26.691789;593.2;2023-06-08;2023-06-12
TGNO4;7.277246;689.5;2023-06-08;2023-06-12
TGSU2;28.424107;1273.75;2023-06-08;2023-06-12
TRAN;17.436002;312;2023-06-08;2023-06-12
TXAR;105.107702;425;2023-06-08;2023-06-12
VALO;69.234296;108;2023-06-08;2023-06-12
YPFD;15.799444;6199.55;2023-06-08;2023-06-12
