ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;6.23426;1024;2024-01-09;2024-01-29
BBAR;1.664037;2549.55;2024-01-09;2024-01-29
BMA;3.100274;4118.4;2024-01-09;2024-01-29
BYMA;4.280859;1162;2024-01-09;2024-01-29
CEPU;9.591599;1190.8;2024-01-09;2024-01-29
COME;25.327186;89.2;2024-01-09;2024-01-29
CRES;2.860165;1164.4;2024-01-09;2024-01-29
EDN;3.343224;1250.35;2024-01-09;2024-01-29
GGAL;9.691288;2669.8;2024-01-09;2024-01-29
IRSA;2.460561;1070.95;2024-01-09;2024-01-29
LOMA;2.267577;1782.95;2024-01-09;2024-01-29
PAMP;8.240163;2483.2;2024-01-09;2024-01-29
SUPV;2.487336;1112.95;2024-01-09;2024-01-29
TECO2;2.519698;1984.95;2024-01-09;2024-01-29
TGNO4;0.713566;2420;2024-01-09;2024-01-29
TGSU2;2.822345;3795.2;2024-01-09;2024-01-29
TRAN;1.709676;1479.5;2024-01-09;2024-01-29
TXAR;13.727848;1045.5;2024-01-09;2024-01-29
VALO;6.801089;275;2024-01-09;2024-01-29
YPFD;1.549205;21960.4;2024-01-09;2024-01-29
