ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;63.273105;302.5;2023-05-08;2023-05-09
BBAR;16.888747;650.3;2023-05-08;2023-05-09
BMA;32.641984;834.75;2023-05-08;2023-05-09
BYMA;37.502163;336;2023-05-08;2023-05-09
CEPU;91.610187;282.6;2023-05-08;2023-05-09
COME;257.052116;28.8;2023-05-08;2023-05-09
CRES;28.800147;273.75;2023-05-08;2023-05-09
EDN;33.890201;210.75;2023-05-08;2023-05-09
GGAL;98.359363;523.65;2023-05-08;2023-05-09
LOMA;23.029963;562.05;2023-05-08;2023-05-09
MIRG;0.726197;5838.5;2023-05-08;2023-05-09
PAMP;79.807062;626.35;2023-05-08;2023-05-09
SUPV;23.127002;203.45;2023-05-08;2023-05-09
TECO2;26.563105;469.85;2023-05-08;2023-05-09
TGNO4;7.242161;598.5;2023-05-08;2023-05-09
TGSU2;28.28707;1111.7;2023-05-08;2023-05-09
TRAN;17.351941;264.5;2023-05-08;2023-05-09
TXAR;104.600964;354.5;2023-05-08;2023-05-09
VALO;68.900507;86.1;2023-05-08;2023-05-09
YPFD;15.723272;5340.5;2023-05-08;2023-05-09
