ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;8.604445;966;2025-11-04;2025-11-06
BBAR;2.296682;8290;2025-11-04;2025-11-06
BMA;3.151372;13100;2025-11-04;2025-11-06
BYMA;59.083864;312.25;2025-11-04;2025-11-06
CEPU;8.51192;2217;2025-11-04;2025-11-06
COME;78.452316;59.9;2025-11-04;2025-11-06
CRES;3.092258;1687;2025-11-04;2025-11-06
EDN;1.891756;2425;2025-11-04;2025-11-06
GGAL;11.206124;8675;2025-11-04;2025-11-06
LOMA;3.129679;3282.5;2025-11-04;2025-11-06
METR;1.913691;2388;2025-11-04;2025-11-06
PAMP;11.114667;5170;2025-11-04;2025-11-06
SUPV;3.091909;3622.5;2025-11-04;2025-11-06
TECO2;1.734558;3660;2025-11-04;2025-11-06
TGNO4;0.984854;4400;2025-11-04;2025-11-06
TGSU2;2.070359;8715;2025-11-04;2025-11-06
TRAN;2.359674;3072.5;2025-11-04;2025-11-06
TXAR;18.946997;782.5;2025-11-04;2025-11-06
VALO;11.173712;441.25;2025-11-04;2025-11-06
YPFD;1.438073;54625;2025-11-04;2025-11-06
