ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;62.391342;100.75;2021-11-02;2021-11-08
BBAR;15.876339;281.35;2021-11-02;2021-11-08
BMA;31.191791;365;2021-11-02;2021-11-08
BYMA;5.708835;861;2021-11-02;2021-11-08
CEPU;82.492094;89.25;2021-11-02;2021-11-08
COME;241.583465;6.02;2021-11-02;2021-11-08
CRES;28.922482;113.15;2021-11-02;2021-11-08
CVH;2.743989;574;2021-11-02;2021-11-08
GGAL;92.44038;256.8;2021-11-02;2021-11-08
LOMA;22.161557;312;2021-11-02;2021-11-08
MIRG;0.703099;3779.781;2021-11-02;2021-11-08
PAMP;66.117697;164.15;2021-11-02;2021-11-08
SUPV;22.949904;98.2;2021-11-02;2021-11-08
TECO2;26.279097;224;2021-11-02;2021-11-08
TGNO4;6.806348;101.5;2021-11-02;2021-11-08
TGSU2;13.963669;239;2021-11-02;2021-11-08
TRAN;16.307751;67.8;2021-11-02;2021-11-08
TXAR;94.314362;137;2021-11-02;2021-11-08
VALO;64.956539;25.65;2021-11-02;2021-11-08
YPFD;14.866276;949.95;2021-11-02;2021-11-08
