ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;63.143733;99.5;2022-01-03;2022-03-08
BBAR;16.854216;209.4;2022-01-03;2022-03-08
BMA;34.286685;296;2022-01-03;2022-03-08
BYMA;2.749015;1088;2022-01-03;2022-03-08
CEPU;100.945764;76.8;2022-01-03;2022-03-08
COME;256.526528;7.1;2022-01-03;2022-03-08
CRES;30.71285;149.5;2022-01-03;2022-03-08
EDN;33.809381;66.55;2022-01-03;2022-03-08
GGAL;98.158249;189.35;2022-01-03;2022-03-08
LOMA;23.318689;212;2022-01-03;2022-03-08
MIRG;0.735422;3185.5;2022-01-03;2022-03-08
PAMP;62.175337;184;2022-01-03;2022-03-08
SUPV;24.369462;78.9;2022-01-03;2022-03-08
TECO2;19.425013;200;2022-01-03;2022-03-08
TGNO4;7.227353;114.5;2022-01-03;2022-03-08
TGSU2;17.886364;260.9;2022-01-03;2022-03-08
TRAN;17.316462;62.8;2022-01-03;2022-03-08
TXAR;85.283759;127.75;2022-01-03;2022-03-08
VALO;68.962148;36;2022-01-03;2022-03-08
YPFD;15.83002;882.5;2022-01-03;2022-03-08
