ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;6.23426;872;2024-01-09;2024-04-11
BBAR;1.664037;3157;2024-01-09;2024-04-11
BMA;3.100274;5420.35;2024-01-09;2024-04-11
BYMA;4.280859;1473;2024-01-09;2024-04-11
CEPU;9.591599;1122.95;2024-01-09;2024-04-11
COME;25.327186;116.8;2024-01-09;2024-04-11
CRES;2.860165;1011;2024-01-09;2024-04-11
EDN;3.343224;978.35;2024-01-09;2024-04-11
GGAL;9.691288;3119.05;2024-01-09;2024-04-11
IRSA;2.460561;1037.4;2024-01-09;2024-04-11
LOMA;2.267577;1578.9;2024-01-09;2024-04-11
PAMP;8.240163;1938.85;2024-01-09;2024-04-11
SUPV;2.487336;1264.1;2024-01-09;2024-04-11
TECO2;2.519698;1640.75;2024-01-09;2024-04-11
TGNO4;0.713566;2241.5;2024-01-09;2024-04-11
TGSU2;2.822345;3489.2;2024-01-09;2024-04-11
TRAN;1.709676;1373;2024-01-09;2024-04-11
TXAR;13.727848;859.5;2024-01-09;2024-04-11
VALO;6.801089;259;2024-01-09;2024-04-11
YPFD;1.549205;22718.95;2024-01-09;2024-04-11
