ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;6.23426;1048;2024-01-09;2024-01-23
BBAR;1.664037;2429.6;2024-01-09;2024-01-23
BMA;3.100274;3909.8;2024-01-09;2024-01-23
BYMA;4.280859;1192.5;2024-01-09;2024-01-23
CEPU;9.591599;1149.55;2024-01-09;2024-01-23
COME;25.327186;90.3;2024-01-09;2024-01-23
CRES;2.860165;1191.55;2024-01-09;2024-01-23
EDN;3.343224;1269.75;2024-01-09;2024-01-23
GGAL;9.691288;2375.25;2024-01-09;2024-01-23
IRSA;2.460561;1120.7;2024-01-09;2024-01-23
LOMA;2.267577;1871.15;2024-01-09;2024-01-23
PAMP;8.240163;2441.55;2024-01-09;2024-01-23
SUPV;2.487336;1080.8;2024-01-09;2024-01-23
TECO2;2.519698;1971.9;2024-01-09;2024-01-23
TGNO4;0.713566;2501;2024-01-09;2024-01-23
TGSU2;2.822345;3810.3;2024-01-09;2024-01-23
TRAN;1.709676;1461.5;2024-01-09;2024-01-23
TXAR;13.727848;1012;2024-01-09;2024-01-23
VALO;6.801089;280.5;2024-01-09;2024-01-23
YPFD;1.549205;20329.4;2024-01-09;2024-01-23
