ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;36.505831;19.95;2018-06-29;2018-09-19
APBR;30.233643;220.75;2018-06-29;2018-09-19
BMA;15.927464;162.8;2018-06-29;2018-09-19
BYMA;3.455635;368.7;2018-06-29;2018-09-19
CEPU;68.615182;44.2;2018-06-29;2018-09-19
COME;71.742177;4.35;2018-06-29;2018-09-19
CRES;14.256229;54.95;2018-06-29;2018-09-19
CVH;5.474266;333.05;2018-06-29;2018-09-19
EDN;19.455452;48.15;2018-06-29;2018-09-19
GGAL;49.168992;98.95;2018-06-29;2018-09-19
METR;7.738417;36.5;2018-06-29;2018-09-19
PAMP;67.091738;52.2;2018-06-29;2018-09-19
SUPV;13.276603;63.4;2018-06-29;2018-09-19
TGNO4;3.982466;62.1;2018-06-29;2018-09-19
TGSU2;17.377135;128.9;2018-06-29;2018-09-19
TRAN;9.541837;50.9;2018-06-29;2018-09-19
TS;2.768107;647.65;2018-06-29;2018-09-19
TXAR;79.957076;16.1;2018-06-29;2018-09-19
VALO;38.904916;6.33;2018-06-29;2018-09-19
YPFD;8.006531;653.5;2018-06-29;2018-09-19
