ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;6.218548;1115.5;2023-12-07;2023-12-12
BBAR;1.659844;1855.8;2023-12-07;2023-12-12
BMA;2.835995;2713.8;2023-12-07;2023-12-12
BYMA;5.825923;943;2023-12-07;2023-12-12
CEPU;10.05694;976.7;2023-12-07;2023-12-12
COME;25.263351;70.35;2023-12-07;2023-12-12
CRES;2.93342;1020.25;2023-12-07;2023-12-12
EDN;3.331914;1038;2023-12-07;2023-12-12
GGAL;9.666861;1780.85;2023-12-07;2023-12-12
LOMA;2.263409;1409.9;2023-12-07;2023-12-12
MIRG;0.071371;11938;2023-12-07;2023-12-12
PAMP;8.342039;2061.35;2023-12-07;2023-12-12
SUPV;2.481066;764.35;2023-12-07;2023-12-12
TECO2;2.827473;1752.45;2023-12-07;2023-12-12
TGNO4;0.711768;1707.5;2023-12-07;2023-12-12
TGSU2;2.815232;3044.85;2023-12-07;2023-12-12
TRAN;1.705367;1196.5;2023-12-07;2023-12-12
TXAR;13.356728;1003;2023-12-07;2023-12-12
VALO;6.783947;222.25;2023-12-07;2023-12-12
YPFD;1.5453;18217.15;2023-12-07;2023-12-12
