ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;36.505831;20;2018-06-29;2018-07-17
APBR;30.233643;150.5;2018-06-29;2018-07-17
BMA;15.927464;186.1;2018-06-29;2018-07-17
BYMA;3.455635;363.4;2018-06-29;2018-07-17
CEPU;68.615182;28.55;2018-06-29;2018-07-17
COME;71.742177;3.55;2018-06-29;2018-07-17
CRES;14.256229;43.7;2018-06-29;2018-07-17
CVH;5.474266;252.3;2018-06-29;2018-07-17
EDN;19.455452;43.7;2018-06-29;2018-07-17
GGAL;49.168992;97.6;2018-06-29;2018-07-17
METR;7.738417;31.2;2018-06-29;2018-07-17
PAMP;67.091738;41.55;2018-06-29;2018-07-17
SUPV;13.276603;64.2;2018-06-29;2018-07-17
TGNO4;3.982466;49.1;2018-06-29;2018-07-17
TGSU2;17.377135;75.55;2018-06-29;2018-07-17
TRAN;9.541837;45.15;2018-06-29;2018-07-17
TS;2.768107;510.65;2018-06-29;2018-07-17
TXAR;79.957076;14.55;2018-06-29;2018-07-17
VALO;38.904916;5.25;2018-06-29;2018-07-17
YPFD;8.006531;422.9;2018-06-29;2018-07-17
