ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;62.348831;67.3;2021-09-06;2021-09-06
BBAR;15.865521;245;2021-09-06;2021-09-06
BMA;31.170538;321.25;2021-09-06;2021-09-06
BYMA;5.704946;819.5;2021-09-06;2021-09-06
CEPU;82.435887;48.2;2021-09-06;2021-09-06
COME;241.418857;5.31;2021-09-06;2021-09-06
CRES;28.902775;101.1;2021-09-06;2021-09-06
CVH;2.74212;364.5;2021-09-06;2021-09-06
GGAL;92.377394;186.4;2021-09-06;2021-09-06
LOMA;22.146456;276.25;2021-09-06;2021-09-06
MIRG;0.70262;2780;2021-09-06;2021-09-06
PAMP;66.072646;122.95;2021-09-06;2021-09-06
SUPV;22.934266;87.4;2021-09-06;2021-09-06
TECO2;26.261191;192.85;2021-09-06;2021-09-06
TGNO4;6.801711;74.4;2021-09-06;2021-09-06
TGSU2;13.954155;182.25;2021-09-06;2021-09-06
TRAN;16.29664;42.75;2021-09-06;2021-09-06
TXAR;94.250098;98.7;2021-09-06;2021-09-06
VALO;64.912279;25.7;2021-09-06;2021-09-06
YPFD;14.856146;872.2;2021-09-06;2021-09-06
