ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
AGRO;4.799784;55.7;2024-07-19;2024-08-21
ALUA;6.793869;886;2024-07-19;2024-08-21
BBAR;1.813408;4320;2024-07-19;2024-08-21
BMA;2.171768;7250;2024-07-19;2024-08-21
BYMA;22.540648;310;2024-07-19;2024-08-21
CEPU;12.039412;1180;2024-07-19;2024-08-21
COME;27.600651;243.5;2024-07-19;2024-08-21
CRES;3.173607;1005;2024-07-19;2024-08-21
EDN;3.643324;1175;2024-07-19;2024-08-21
GGAL;10.561212;4385;2024-07-19;2024-08-21
IRSA;2.600155;1310;2024-07-19;2024-08-21
LOMA;2.471123;1795;2024-07-19;2024-08-21
PAMP;9.050432;2660;2024-07-19;2024-08-21
SUPV;2.703972;1845;2024-07-19;2024-08-21
TECO2;2.238582;1895;2024-07-19;2024-08-21
TGNO4;0.777618;2870;2024-07-19;2024-08-21
TGSU2;3.075689;4885;2024-07-19;2024-08-21
TRAN;1.863143;1610;2024-07-19;2024-08-21
TXAR;14.96011;869;2024-07-19;2024-08-21
YPFD;1.596616;27350;2024-07-19;2024-08-21
