ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;63.143733;97.3;2022-01-03;2022-03-10
BBAR;16.854216;218;2022-01-03;2022-03-10
BMA;34.286685;312.5;2022-01-03;2022-03-10
BYMA;2.749015;1173;2022-01-03;2022-03-10
CEPU;100.945764;78.2;2022-01-03;2022-03-10
COME;256.526528;7.42;2022-01-03;2022-03-10
CRES;30.71285;151;2022-01-03;2022-03-10
EDN;33.809381;67.2;2022-01-03;2022-03-10
GGAL;98.158249;199.5;2022-01-03;2022-03-10
LOMA;23.318689;224.65;2022-01-03;2022-03-10
MIRG;0.735422;3428;2022-01-03;2022-03-10
PAMP;62.175337;187.3;2022-01-03;2022-03-10
SUPV;24.369462;79;2022-01-03;2022-03-10
TECO2;19.425013;204;2022-01-03;2022-03-10
TGNO4;7.227353;111;2022-01-03;2022-03-10
TGSU2;17.886364;251;2022-01-03;2022-03-10
TRAN;17.316462;62.8;2022-01-03;2022-03-10
TXAR;85.283759;125;2022-01-03;2022-03-10
VALO;68.962148;36.6;2022-01-03;2022-03-10
YPFD;15.83002;935;2022-01-03;2022-03-10
