ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;65.895946;203.25;2023-01-05;2023-01-19
BBAR;17.588831;542.15;2023-01-05;2023-01-19
BMA;31.592436;769.1;2023-01-05;2023-01-19
BYMA;45.151323;260.5;2023-01-05;2023-01-19
CEPU;69.275407;209.6;2023-01-05;2023-01-19
COME;267.707616;20.25;2023-01-05;2023-01-19
CRES;30.686134;242.65;2023-01-05;2023-01-19
EDN;35.29504;150.4;2023-01-05;2023-01-19
GGAL;102.436622;461.4;2023-01-05;2023-01-19
LOMA;23.920876;510.4;2023-01-05;2023-01-19
MIRG;0.756299;5291;2023-01-05;2023-01-19
PAMP;72.631648;471;2023-01-05;2023-01-19
SUPV;24.365714;192.95;2023-01-05;2023-01-19
TECO2;24.066709;416.6;2023-01-05;2023-01-19
TGNO4;7.542368;355;2023-01-05;2023-01-19
TGSU2;18.617102;740.95;2023-01-05;2023-01-19
TRAN;18.071226;193.75;2023-01-05;2023-01-19
TXAR;109.985513;252.5;2023-01-05;2023-01-19
VALO;71.756616;84.4;2023-01-05;2023-01-19
YPFD;16.375044;4026.3;2023-01-05;2023-01-19
