ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;8.87577;1076;2026-01-09;2026-01-23
BBAR;2.089439;9805;2026-01-09;2026-01-23
BMA;2.633664;14710;2026-01-09;2026-01-23
BYMA;60.780934;324.25;2026-01-09;2026-01-23
CEPU;7.963217;2477;2026-01-09;2026-01-23
COME;80.926172;57.6;2026-01-09;2026-01-23
CRES;2.966879;1912;2026-01-09;2026-01-23
EDN;1.951407;2242;2026-01-09;2026-01-23
GGAL;10.848421;8125;2026-01-09;2026-01-23
IRSA;1.99303;2505;2026-01-09;2026-01-23
LOMA;3.228373;3592.5;2026-01-09;2026-01-23
METR;1.974037;2382;2026-01-09;2026-01-23
PAMP;11.923385;5080;2026-01-09;2026-01-23
SUPV;3.189407;3487.5;2026-01-09;2026-01-23
TGNO4;1.01591;4342.5;2026-01-09;2026-01-23
TGSU2;2.129165;9340;2026-01-09;2026-01-23
TRAN;2.43408;3467.5;2026-01-09;2026-01-23
TXAR;19.544457;768;2026-01-09;2026-01-23
VALO;11.526053;612;2026-01-09;2026-01-23
YPFD;1.62925;55150;2026-01-09;2026-01-23
