ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;6.616335;920;2024-11-14;2024-12-13
BBAR;1.76602;6240;2024-11-14;2024-12-13
BMA;3.106655;10175;2024-11-14;2024-12-13
BYMA;22.716081;395.5;2024-11-14;2024-12-13
CEPU;12.696956;1675;2024-11-14;2024-12-13
COME;26.879389;245.5;2024-11-14;2024-12-13
CRES;3.115964;1490;2024-11-14;2024-12-13
EDN;3.548118;2705;2024-11-14;2024-12-13
GGAL;9.782799;6760;2024-11-14;2024-12-13
IRSA;2.5984;1795;2024-11-14;2024-12-13
LOMA;2.406547;2870;2024-11-14;2024-12-13
METR;1.471521;2910;2024-11-14;2024-12-13
PAMP;8.809898;3890;2024-11-14;2024-12-13
SUPV;2.336649;2895;2024-11-14;2024-12-13
TGNO4;0.757297;4050;2024-11-14;2024-12-13
TGSU2;2.995316;6490;2024-11-14;2024-12-13
TRAN;1.814455;2755;2024-11-14;2024-12-13
TXAR;14.569173;923;2024-11-14;2024-12-13
VALO;7.217901;382;2024-11-14;2024-12-13
YPFD;1.616357;48525;2024-11-14;2024-12-13
