ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
AGRO;4.761876;59.8;2024-07-05;2024-07-17
ALUA;6.740212;1035;2024-07-05;2024-07-17
BBAR;1.799086;3505;2024-07-05;2024-07-17
BMA;2.154616;6640;2024-07-05;2024-07-17
BYMA;22.362624;324;2024-07-05;2024-07-17
CEPU;11.944326;1120;2024-07-05;2024-07-17
COME;27.382664;225.75;2024-07-05;2024-07-17
CRES;3.148542;1050;2024-07-05;2024-07-17
EDN;3.614549;1045;2024-07-05;2024-07-17
GGAL;10.477801;3575;2024-07-05;2024-07-17
IRSA;2.579619;1265;2024-07-05;2024-07-17
LOMA;2.451606;1775;2024-07-05;2024-07-17
PAMP;8.978953;2345;2024-07-05;2024-07-17
SUPV;2.682616;1580;2024-07-05;2024-07-17
TECO2;2.220902;1755;2024-07-05;2024-07-17
TGNO4;0.771476;3155;2024-07-05;2024-07-17
TGSU2;3.051398;4465;2024-07-05;2024-07-17
TRAN;1.848428;1565;2024-07-05;2024-07-17
TXAR;14.841957;1050;2024-07-05;2024-07-17
YPFD;1.584006;26100;2024-07-05;2024-07-17
