ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;62.442671;41;2021-01-19;2021-03-08
BBAR;15.8894;129.2;2021-01-19;2021-03-08
BMA;32.330747;195.6;2021-01-19;2021-03-08
BYMA;5.878224;629;2021-01-19;2021-03-08
CEPU;68.464339;31.85;2021-01-19;2021-03-08
COME;241.7834;2.33;2021-01-19;2021-03-08
CRES;24.993874;70.25;2021-01-19;2021-03-08
EDN;28.935515;25.2;2021-01-19;2021-03-08
GGAL;88.801145;109.6;2021-01-19;2021-03-08
LOMA;22.619431;163.55;2021-01-19;2021-03-08
MIRG;1.341732;1418.5;2021-01-19;2021-03-08
PAMP;80.304172;80.85;2021-01-19;2021-03-08
SUPV;22.968784;54;2021-01-19;2021-03-08
TECO2;13.496041;163;2021-01-19;2021-03-08
TGNO4;6.811948;38;2021-01-19;2021-03-08
TGSU2;13.235292;132.65;2021-01-19;2021-03-08
TRAN;16.321167;22.7;2021-01-19;2021-03-08
TXAR;81.28825;45.85;2021-01-19;2021-03-08
VALO;65.009976;24.1;2021-01-19;2021-03-08
YPFD;14.878505;609.25;2021-01-19;2021-03-08
