ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;64.39112;21.8;2020-04-02;2020-04-06
BBAR;16.381178;78.35;2020-04-02;2020-04-06
BMA;18.012576;152.7;2020-04-02;2020-04-06
BYMA;6.080925;229.75;2020-04-02;2020-04-06
CEPU;85.152955;21.15;2020-04-02;2020-04-06
COME;201.335084;1.43;2020-04-02;2020-04-06
CRES;25.013259;28.3;2020-04-02;2020-04-06
EDN;30.401454;14.35;2020-04-02;2020-04-06
GGAL;91.57208;63.8;2020-04-02;2020-04-06
LOMA;10.635271;72.15;2020-04-02;2020-04-06
MIRG;2.60442;457;2020-04-02;2020-04-06
PAMP;96.997862;38.85;2020-04-02;2020-04-06
SUPV;23.575343;29.75;2020-04-02;2020-04-06
TECO2;4.06977;159.5;2020-04-02;2020-04-06
TGNO4;7.024507;24.6;2020-04-02;2020-04-06
TGSU2;26.097856;88;2020-04-02;2020-04-06
TRAN;16.83045;19.25;2020-04-02;2020-04-06
TXAR;102.68574;20.3;2020-04-02;2020-04-06
VALO;67.190539;9.34;2020-04-02;2020-04-06
YPFD;15.329771;391.8;2020-04-02;2020-04-06
