ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
AGRO;4.675151;49.1;2024-05-10;2024-05-14
ALUA;6.617457;884;2024-05-10;2024-05-14
BBAR;1.76632;3625;2024-05-10;2024-05-14
BMA;2.115375;6605;2024-05-10;2024-05-14
BYMA;21.955344;328;2024-05-10;2024-05-14
CEPU;11.72679;1075;2024-05-10;2024-05-14
COME;26.883955;131.5;2024-05-10;2024-05-14
CRES;3.0912;1026;2024-05-10;2024-05-14
EDN;3.54872;1027.05;2024-05-10;2024-05-14
GGAL;10.286974;3615;2024-05-10;2024-05-14
IRSA;2.532638;1162;2024-05-10;2024-05-14
LOMA;2.406957;1589;2024-05-10;2024-05-14
PAMP;8.815423;1980;2024-05-10;2024-05-14
SUPV;2.633758;1550;2024-05-10;2024-05-14
TECO2;2.180455;1950;2024-05-10;2024-05-14
TGNO4;0.757425;2400;2024-05-10;2024-05-14
TGSU2;2.995824;3900;2024-05-10;2024-05-14
TRAN;1.814764;1369.5;2024-05-10;2024-05-14
TXAR;14.571648;879;2024-05-10;2024-05-14
YPFD;1.555156;24599;2024-05-10;2024-05-14
