ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;6.202308;986;2023-12-01;2023-12-05
BBAR;1.655509;1732.9;2023-12-01;2023-12-05
BMA;2.828589;2552.65;2023-12-01;2023-12-05
BYMA;5.810709;763;2023-12-01;2023-12-05
CEPU;10.030676;800.1;2023-12-01;2023-12-05
COME;25.197375;64.65;2023-12-01;2023-12-05
CRES;2.925759;898.35;2023-12-01;2023-12-05
EDN;3.323213;816.6;2023-12-01;2023-12-05
GGAL;9.641616;1641.35;2023-12-01;2023-12-05
LOMA;2.257498;1267.75;2023-12-01;2023-12-05
MIRG;0.071185;10924.5;2023-12-01;2023-12-05
PAMP;8.320254;1806.85;2023-12-01;2023-12-05
SUPV;2.474587;649.45;2023-12-01;2023-12-05
TECO2;2.820089;1596.4;2023-12-01;2023-12-05
TGNO4;0.709909;1385;2023-12-01;2023-12-05
TGSU2;2.80788;2493.75;2023-12-01;2023-12-05
TRAN;1.700913;1027;2023-12-01;2023-12-05
TXAR;13.321847;882;2023-12-01;2023-12-05
VALO;6.766231;180.5;2023-12-01;2023-12-05
YPFD;1.541264;16149.25;2023-12-01;2023-12-05
