ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;8.533705;738;2025-09-01;2025-09-02
BBAR;2.277802;5620;2025-09-01;2025-09-02
BMA;3.125465;7930;2025-09-01;2025-09-02
BYMA;58.59812;183.75;2025-09-01;2025-09-02
CEPU;8.441941;1410;2025-09-01;2025-09-02
COME;77.807337;40.75;2025-09-01;2025-09-02
CRES;3.066836;1350;2025-09-01;2025-09-02
EDN;1.876202;1430;2025-09-01;2025-09-02
GGAL;11.113994;5420;2025-09-01;2025-09-02
LOMA;3.10395;2540;2025-09-01;2025-09-02
METR;1.897958;1510;2025-09-01;2025-09-02
PAMP;11.023289;3610;2025-09-01;2025-09-02
SUPV;3.06649;2125;2025-09-01;2025-09-02
TECO2;1.720298;2330;2025-09-01;2025-09-02
TGNO4;0.976757;3035;2025-09-01;2025-09-02
TGSU2;2.053339;7210;2025-09-01;2025-09-02
TRAN;2.340273;2290;2025-09-01;2025-09-02
TXAR;18.791228;553;2025-09-01;2025-09-02
VALO;11.081848;322;2025-09-01;2025-09-02
YPFD;1.426251;41550;2025-09-01;2025-09-02
