ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;41.995577;19.1;2019-07-10;2019-07-10
APBR;19.490587;341.6;2019-07-10;2019-07-10
BBAR;10.683725;168.55;2019-07-10;2019-07-10
BMA;14.481016;313.55;2019-07-10;2019-07-10
BYMA;3.92659;366.5;2019-07-10;2019-07-10
CEPU;78.47204;40.8;2019-07-10;2019-07-10
COME;77.238576;3.11;2019-07-10;2019-07-10
CRES;15.636616;49;2019-07-10;2019-07-10
EDN;21.126409;44.7;2019-07-10;2019-07-10
GGAL;59.722867;159;2019-07-10;2019-07-10
PAMP;75.434145;59.2;2019-07-10;2019-07-10
SUPV;15.375725;71.3;2019-07-10;2019-07-10
TECO2;6.513654;149.5;2019-07-10;2019-07-10
TGNO4;4.581351;71.1;2019-07-10;2019-07-10
TGSU2;19.232616;128.75;2019-07-10;2019-07-10
TRAN;10.976738;43.85;2019-07-10;2019-07-10
TS;6.029275;570.1;2019-07-10;2019-07-10
TXAR;91.981019;14.85;2019-07-10;2019-07-10
VALO;44.03817;8.96;2019-07-10;2019-07-10
YPFD;7.215872;770.4;2019-07-10;2019-07-10
