ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;38.800085;18.1;2018-09-28;2018-11-12
APBR;22.794703;261.8;2018-09-28;2018-11-12
BMA;20.494535;152.05;2018-09-28;2018-11-12
BYMA;3.672808;357.95;2018-09-28;2018-11-12
CEPU;72.927389;35.8;2018-09-28;2018-11-12
COME;74.881861;3.44;2018-09-28;2018-11-12
CVH;4.177136;270.5;2018-09-28;2018-11-12
EDN;21.30038;41.5;2018-09-28;2018-11-12
BBAR;8.65401;138.55;2018-09-28;2018-11-12
GGAL;55.178486;87.9;2018-09-28;2018-11-12
METR;8.224748;29.1;2018-09-28;2018-11-12
PAMP;75.60981;47.65;2018-09-28;2018-11-12
SUPV;14.110988;58.15;2018-09-28;2018-11-12
TGNO4;4.232749;49.3;2018-09-28;2018-11-12
TGSU2;14.977225;108.9;2018-09-28;2018-11-12
TRAN;10.141506;41.5;2018-09-28;2018-11-12
TS;2.97748;511.7;2018-09-28;2018-11-12
TXAR;84.982078;14.75;2018-09-28;2018-11-12
VALO;41.349944;5.11;2018-09-28;2018-11-12
YPFD;7.225632;562.75;2018-09-28;2018-11-12
