ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;61.063885;22.25;2019-09-30;2019-10-01
BBAR;15.534725;95.6;2019-09-30;2019-10-01
BMA;26.036217;171.85;2019-09-30;2019-10-01
BYMA;5.685271;224;2019-09-30;2019-10-01
CEPU;114.102676;19.2;2019-09-30;2019-10-01
COME;190.925484;1.6;2019-09-30;2019-10-01
CRES;23.051378;38;2019-09-30;2019-10-01
CVH;2.737311;179.75;2019-09-30;2019-10-01
EDN;30.603197;22.7;2019-09-30;2019-10-01
GGAL;86.840344;84.25;2019-09-30;2019-10-01
LOMA;8.761841;76;2019-09-30;2019-10-01
PAMP;104.627972;46.15;2019-09-30;2019-10-01
SUPV;22.357152;41.45;2019-09-30;2019-10-01
TECO2;7.375347;131.6;2019-09-30;2019-10-01
TGNO4;6.661534;49.05;2019-09-30;2019-10-01
TGSU2;21.126924;111.45;2019-09-30;2019-10-01
TRAN;15.960783;21.6;2019-09-30;2019-10-01
TXAR;133.745477;15.9;2019-09-30;2019-10-01
VALO;63.766175;6.52;2019-09-30;2019-10-01
YPFD;11.257409;620.65;2019-09-30;2019-10-01
