ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;62.135088;29.4;2020-01-02;2020-02-18
BBAR;15.80724;121.3;2020-01-02;2020-02-18
BMA;19.38036;255.2;2020-01-02;2020-02-18
BYMA;5.770192;299.5;2020-01-02;2020-02-18
CEPU;92.966275;28.9;2020-01-02;2020-02-18
COME;194.274761;2.21;2020-01-02;2020-02-18
CRES;23.181593;40.35;2020-01-02;2020-02-18
EDN;29.384358;20.75;2020-01-02;2020-02-18
GGAL;88.363725;112.65;2020-01-02;2020-02-18
LOMA;7.844304;108.45;2020-01-02;2020-02-18
MIRG;1.825883;782;2020-01-02;2020-02-18
PAMP;99.451921;42.25;2020-01-02;2020-02-18
SUPV;22.749348;47.55;2020-01-02;2020-02-18
TECO2;6.427458;190.6;2020-01-02;2020-02-18
TGNO4;6.778393;35.65;2020-01-02;2020-02-18
TGSU2;29.267;101.55;2020-01-02;2020-02-18
TRAN;16.240772;25.9;2020-01-02;2020-02-18
TXAR;134.683862;23.7;2020-01-02;2020-02-18
VALO;64.765829;13.95;2020-01-02;2020-02-18
YPFD;13.303519;769.65;2020-01-02;2020-02-18
