ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;65.14596;82.5;2022-05-09;2022-05-09
BBAR;17.388646;193.65;2022-05-09;2022-05-09
BMA;34.369529;284.65;2022-05-09;2022-05-09
BYMA;2.36158;1174.5;2022-05-09;2022-05-09
CEPU;98.276342;67.45;2022-05-09;2022-05-09
COME;264.660736;8.62;2022-05-09;2022-05-09
CRES;22.820141;126;2022-05-09;2022-05-09
EDN;34.881444;55.1;2022-05-09;2022-05-09
GGAL;101.270753;177.2;2022-05-09;2022-05-09
LOMA;23.858158;223.7;2022-05-09;2022-05-09
MIRG;0.754197;3110;2022-05-09;2022-05-09
PAMP;65.467822;162.3;2022-05-09;2022-05-09
SUPV;25.142194;67.9;2022-05-09;2022-05-09
TECO2;12.767049;205.6;2022-05-09;2022-05-09
TGNO4;7.456525;92.1;2022-05-09;2022-05-09
TGSU2;16.813478;233.95;2022-05-09;2022-05-09
TRAN;17.865551;47.8;2022-05-09;2022-05-09
TXAR;106.651929;112.25;2022-05-09;2022-05-09
VALO;70.82176;36;2022-05-09;2022-05-09
YPFD;16.331976;814.3;2022-05-09;2022-05-09
