ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;64.439722;40.7;2020-06-16;2020-06-25
BBAR;16.393543;151.05;2020-06-16;2020-06-25
BMA;18.026172;227.1;2020-06-16;2020-06-25
BYMA;6.085515;399;2020-06-16;2020-06-25
CEPU;85.217228;28.9;2020-06-16;2020-06-25
COME;201.487049;2.4;2020-06-16;2020-06-25
CRES;25.032139;36.3;2020-06-16;2020-06-25
EDN;30.424401;22.7;2020-06-16;2020-06-25
GGAL;91.641198;116.25;2020-06-16;2020-06-25
LOMA;10.643298;98.6;2020-06-16;2020-06-25
MIRG;2.606386;943.5;2020-06-16;2020-06-25
PAMP;97.071075;47.7;2020-06-16;2020-06-25
SUPV;23.593137;54.35;2020-06-16;2020-06-25
TECO2;4.072842;206.85;2020-06-16;2020-06-25
TGNO4;7.029809;33.65;2020-06-16;2020-06-25
TGSU2;26.117555;124.5;2020-06-16;2020-06-25
TRAN;16.843153;23.55;2020-06-16;2020-06-25
TXAR;102.763246;37.2;2020-06-16;2020-06-25
VALO;67.241253;23.9;2020-06-16;2020-06-25
YPFD;15.341342;618.45;2020-06-16;2020-06-25
