ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;7.2613;759;2025-01-27;2025-02-28
BBAR;1.938174;7550;2025-01-27;2025-02-28
BMA;2.762544;10075;2025-01-27;2025-02-28
BYMA;24.930467;433;2025-01-27;2025-02-28
CEPU;11.775447;1410;2025-01-27;2025-02-28
COME;29.499618;169.75;2025-01-27;2025-02-28
CRES;3.418782;1285;2025-01-27;2025-02-28
EDN;3.894743;2080;2025-01-27;2025-02-28
GGAL;9.89907;6930;2025-01-27;2025-02-28
IRSA;2.970928;1600;2025-01-27;2025-02-28
LOMA;2.64114;2515;2025-01-27;2025-02-28
METR;1.614966;2115;2025-01-27;2025-02-28
PAMP;9.734993;3745;2025-01-27;2025-02-28
SUPV;2.609265;3215;2025-01-27;2025-02-28
TGNO4;0.831119;3390;2025-01-27;2025-02-28
TGSU2;2.797495;6060;2025-01-27;2025-02-28
TRAN;1.99133;2000;2025-01-27;2025-02-28
TXAR;15.98939;720;2025-01-27;2025-02-28
VALO;7.921508;351.5;2025-01-27;2025-02-28
YPFD;1.466164;42150;2025-01-27;2025-02-28
