ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;62.442671;45.7;2021-01-19;2021-02-22
BBAR;15.8894;139.75;2021-01-19;2021-02-22
BMA;32.330747;206.6;2021-01-19;2021-02-22
BYMA;5.878224;623;2021-01-19;2021-02-22
CEPU;68.464339;33;2021-01-19;2021-02-22
COME;241.7834;2.5;2021-01-19;2021-02-22
CRES;24.993874;73.15;2021-01-19;2021-02-22
EDN;28.935515;27.5;2021-01-19;2021-02-22
GGAL;88.801145;120.05;2021-01-19;2021-02-22
LOMA;22.619431;172.1;2021-01-19;2021-02-22
MIRG;1.341732;1448;2021-01-19;2021-02-22
PAMP;80.304172;83;2021-01-19;2021-02-22
SUPV;22.968784;59.55;2021-01-19;2021-02-22
TECO2;13.496041;172.95;2021-01-19;2021-02-22
TGNO4;6.811948;42.8;2021-01-19;2021-02-22
TGSU2;13.235292;142.15;2021-01-19;2021-02-22
TRAN;16.321167;27.05;2021-01-19;2021-02-22
TXAR;81.28825;53.4;2021-01-19;2021-02-22
VALO;65.009976;25.9;2021-01-19;2021-02-22
YPFD;14.878505;613.25;2021-01-19;2021-02-22
