ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;6.605125;861;2024-11-05;2024-11-06
BBAR;1.763028;5800;2024-11-05;2024-11-06
BMA;3.101392;9540;2024-11-05;2024-11-06
BYMA;22.677595;332.5;2024-11-05;2024-11-06
CEPU;12.675445;1370;2024-11-05;2024-11-06
COME;26.833849;261;2024-11-05;2024-11-06
CRES;3.110685;1200;2024-11-05;2024-11-06
EDN;3.542107;1885;2024-11-05;2024-11-06
GGAL;9.766225;6410;2024-11-05;2024-11-06
IRSA;2.593998;1545;2024-11-05;2024-11-06
LOMA;2.40247;2305;2024-11-05;2024-11-06
METR;1.469028;1605;2024-11-05;2024-11-06
PAMP;8.794972;3220;2024-11-05;2024-11-06
SUPV;2.33269;2225;2024-11-05;2024-11-06
TGNO4;0.756014;3380;2024-11-05;2024-11-06
TGSU2;2.990241;5340;2024-11-05;2024-11-06
TRAN;1.811381;2175;2024-11-05;2024-11-06
TXAR;14.54449;793;2024-11-05;2024-11-06
VALO;7.205672;349.5;2024-11-05;2024-11-06
YPFD;1.613619;32825;2024-11-05;2024-11-06
