ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;61.465682;32.6;2019-11-29;2019-12-13
BBAR;15.636943;119.85;2019-11-29;2019-12-13
BMA;26.207534;221.6;2019-11-29;2019-12-13
BYMA;5.72268;287.5;2019-11-29;2019-12-13
CEPU;114.853467;32.7;2019-11-29;2019-12-13
COME;192.181765;1.83;2019-11-29;2019-12-13
CRES;23.203055;41.65;2019-11-29;2019-12-13
CVH;2.755322;255;2019-11-29;2019-12-13
EDN;30.804565;19.9;2019-11-29;2019-12-13
GGAL;87.411749;108.6;2019-11-29;2019-12-13
LOMA;8.819494;101.8;2019-11-29;2019-12-13
PAMP;105.316419;44.75;2019-11-29;2019-12-13
SUPV;22.504262;45.75;2019-11-29;2019-12-13
TECO2;7.423876;149.65;2019-11-29;2019-12-13
TGNO4;6.705366;36.75;2019-11-29;2019-12-13
TGSU2;21.265938;97.8;2019-11-29;2019-12-13
TRAN;16.065803;22.25;2019-11-29;2019-12-13
TXAR;134.625516;23.2;2019-11-29;2019-12-13
VALO;64.185754;12.7;2019-11-29;2019-12-13
YPFD;11.331482;764.2;2019-11-29;2019-12-13
