ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;9.546173;977.5;2026-07-31;2026-07-31
BBAR;2.548049;9965.0;2026-07-31;2026-07-31
BMA;2.674034;14470.0;2026-07-31;2026-07-31
BYMA;62.198545;295.5;2026-07-31;2026-07-31
CEPU;11.23022;2396.0;2026-07-31;2026-07-31
COME;87.038657;44.03;2026-07-31;2026-07-31
CRES;4.13269;1766.0;2026-07-31;2026-07-31
ECOG;2.455949;3002.5;2026-07-31;2026-07-31
EDN;2.0988;2121.0;2026-07-31;2026-07-31
GGAL;13.156425;7890.0;2026-07-31;2026-07-31
LOMA;3.472214;3620.0;2026-07-31;2026-07-31
METR;2.123139;2095.0;2026-07-31;2026-07-31
PAMP;10.602005;5555.0;2026-07-31;2026-07-31
SUPV;4.045702;2995.0;2026-07-31;2026-07-31
TGNO4;1.092642;3990.0;2026-07-31;2026-07-31
TGSU2;2.024081;10050.0;2026-07-31;2026-07-31
TRAN;2.617931;3505.0;2026-07-31;2026-07-31
TXAR;21.020682;659.5;2026-07-31;2026-07-31
VALO;14.295911;624.0;2026-07-31;2026-07-31
YPFD;1.250995;82900.0;2026-07-31;2026-07-31
