ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;9.528669;1027.0;2026-06-11;2026-06-11
BBAR;2.543377;10030.0;2026-06-11;2026-06-11
BMA;2.66913;14570.0;2026-06-11;2026-06-11
BYMA;62.084498;303.25;2026-06-11;2026-06-11
CEPU;11.209629;2395.0;2026-06-11;2026-06-11
COME;86.879063;46.06;2026-06-11;2026-06-11
CRES;4.125112;1890.0;2026-06-11;2026-06-11
ECOG;2.451447;3227.5;2026-06-11;2026-06-11
EDN;2.094952;2137.0;2026-06-11;2026-06-11
GGAL;13.132301;8270.0;2026-06-11;2026-06-11
LOMA;3.465847;3750.0;2026-06-11;2026-06-11
METR;2.119246;2011.0;2026-06-11;2026-06-11
PAMP;10.582566;5305.0;2026-06-11;2026-06-11
SUPV;4.038283;3242.5;2026-06-11;2026-06-11
TGNO4;1.090639;4270.0;2026-06-11;2026-06-11
TGSU2;2.020369;9900.0;2026-06-11;2026-06-11
TRAN;2.613131;3902.5;2026-06-11;2026-06-11
TXAR;20.982138;700.5;2026-06-11;2026-06-11
VALO;14.269697;635.0;2026-06-11;2026-06-11
YPFD;1.248702;83700.0;2026-06-11;2026-06-11
